,Country,ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
25,Bulgaria,BGR,71.271004,71.202003,71.121002,71.040001,70.970001,70.928001,70.932999,70.994003,71.111,71.282997,71.498001,71.740997,71.991997,72.234001,72.459999,72.669998,72.870003,73.071999,73.280998,73.498001,73.716003,73.929001,74.128998,74.310997,74.473
26,Burkina Faso,BFA,49.453999,49.409,49.374001,49.360001,49.380001,49.445,49.556999,49.713001,49.914001,50.167999,50.488998,50.893002,51.383999,51.956001,52.602001,53.310001,54.063,54.841,55.618,56.375999,57.096001,57.762001,58.376999,58.942001,59.457001
27,Burundi,BDI,48.053001,47.816002,47.751999,47.910999,48.294998,48.860001,49.526001,50.186001,50.757999,51.213001,51.544998,51.778999,51.977001,52.189999,52.437,52.735001,53.09,53.492001,53.925999,54.386002,54.861,55.338001,55.806999,56.258999,56.688
28,Cambodia,KHM,53.595001,53.916,54.228001,54.514,54.82,55.188999,55.653,56.212002,56.862,57.604,58.431999,59.334999,60.283001,61.241001,62.186001,63.088001,63.926998,64.695,65.390999,66.010002,66.555,67.033997,67.466003,67.867996,68.250999
29,Cameroon,CMR,52.209,51.834999,51.389999,50.91,50.432999,50.014999,49.708,49.542999,49.537998,49.700001,50.026001,50.494999,51.058998,51.671001,52.300999,52.916,53.493999,54.033001,54.535,54.995998,55.424,55.832001,56.241001,56.665001,57.111
30,Canada,CAN,77.299004,77.475998,77.649002,77.816002,77.981003,78.146004,78.318001,78.5,78.693001,78.898003,79.113998,79.337997,79.565002,79.791,80.013,80.232002,80.446999,80.658997,80.870003,81.079002,81.283997,81.482002,81.674004,81.858002,82.035004
31,Cape Verde,CPV,64.876999,65.204002,65.542999,65.902,66.288002,66.720001,67.221001,67.792999,68.420998,69.085999,69.747002,70.358002,70.882004,71.292999,71.584,71.760002,71.842003,71.869003,71.880997,71.899002,71.941002,72.018997,72.126999,72.259003,72.417999
32,Central African Republic,CAF,48.766998,48.349998,47.873001,47.352001,46.806999,46.251999,45.700001,45.166,44.674999,44.254002,43.937,43.755001,43.717999,43.827,44.080002,44.466,44.966999,45.551998,46.189999,46.862,47.560001,48.284,49.041,49.825001,50.620998
33,Chad,TCD,46.952,47.053001,47.147999,47.243,47.339001,47.431,47.505001,47.556,47.582001,47.59,47.592999,47.603001,47.638,47.716,47.848,48.054001,48.348999,48.729,49.181999,49.691002,50.233002,50.778,51.299999,51.778,52.203999
35,Chile,CHL,73.68,74.042,74.393997,74.733002,75.058998,75.374001,75.678001,75.973999,76.259003,76.532997,76.792999,77.033997,77.254997,77.453003,77.632004,77.791,77.933998,78.066002,78.193001,78.32,78.454002,78.598999,78.758003,78.931,79.116997
36,China,CHN,69.292999,69.436996,69.586998,69.75,69.934998,70.155998,70.427002,70.747002,71.114998,71.521004,71.955002,72.401001,72.839996,73.257004,73.641998,73.987,74.291,74.561996,74.807999,75.031998,75.236,75.425003,75.601997,75.768997,75.931999
37,Colombia,COL,68.292,68.443001,68.629997,68.857002,69.125,69.428001,69.755997,70.089996,70.416,70.726997,71.018997,71.292999,71.556,71.813004,72.061996,72.303001,72.531998,72.749001,72.952003,73.142998,73.324997,73.5,73.672997,73.847,74.022003
38,Comoros,COM,56.676998,57.167999,57.623001,58.037998,58.407001,58.722,58.972,59.16,59.293999,59.388,59.459999,59.528999,59.617001,59.737999,59.903999,60.125999,60.407001,60.734001,61.094002,61.474998,61.862,62.240002,62.596001,62.923,63.216
39,Congo,COG,55.953999,55.521,55.007999,54.438,53.841999,53.247002,52.676998,52.164001,51.748001,51.473,51.396999,51.577,52.016998,52.702999,53.608002,54.687,55.881001,57.115002,58.320999,59.452,60.473,61.369999,62.168999,62.889999,63.535999
40,Costa Rica,CRI,75.638,75.830002,76.015999,76.199997,76.385002,76.570999,76.759003,76.942001,77.119003,77.288002,77.447998,77.597,77.736,77.867996,77.992996,78.113998,78.234001,78.355003,78.481003,78.612999,78.755997,78.911003,79.077003,79.253998,79.440002
41,Cote d'Ivoire,CIV,52.486,52.117001,51.605,50.974998,50.258999,49.500999,48.745998,48.042999,47.438,46.969002,46.672001,46.567001,46.637001,46.855999,47.205002,47.658001,48.182999,48.747002,49.320999,49.882999,50.423,50.945,51.463001,51.988998,52.52
42,Croatia,HRV,72.315002,72.532997,72.783997,73.073997,73.394997,73.726997,74.041,74.311996,74.526001,74.682999,74.795998,74.887001,74.985001,75.112,75.276001,75.475998,75.703003,75.939003,76.169998,76.389,76.594002,76.783997,76.963997,77.138,77.308998
43,Cuba,CUB,74.643997,74.702003,74.806999,74.962997,75.168999,75.415001,75.682999,75.949997,76.203003,76.436996,76.657997,76.879997,77.119003,77.380997,77.663002,77.949997,78.224998,78.469002,78.671997,78.833,78.959,79.064003,79.167,79.281998,79.415001
45,Cyprus,CYP,76.554001,76.710999,76.864998,77.016998,77.166,77.311996,77.456001,77.598,77.737999,77.875999,78.010002,78.139999,78.264,78.386002,78.505997,78.630997,78.764,78.911003,79.070999,79.245003,79.43,79.620003,79.809998,79.995003,80.172997
46,Czech Republic,CZE,71.892998,72.125,72.388,72.681999,73.001999,73.337997,73.678001,74.010002,74.324997,74.622002,74.901001,75.168999,75.434998,75.708,75.987,76.271004,76.558998,76.843002,77.117996,77.380997,77.626999,77.851997,78.058998,78.247002,78.419998
47,Democratic Republic of Congo,COD,49.042999,49.224998,49.311001,49.301998,49.220001,49.111,49.040001,49.066002,49.233002,49.556999,50.041,50.667,51.384998,52.144001,52.917,53.674999,54.401001,55.091,55.743,56.349998,56.907001,57.417999,57.894001,58.347,58.782001
48,Denmark,DNK,74.941002,75.044998,75.166,75.303001,75.457001,75.628998,75.82,76.026001,76.245003,76.474998,76.711998,76.953003,77.195,77.439003,77.683998,77.935997,78.200996,78.483002,78.780998,79.089996,79.399002,79.694,79.964996,80.205002,80.412003
49,Djibouti,DJI,56.678001,56.831001,56.943001,57.016998,57.056,57.064999,57.049999,57.021999,56.998001,56.992001,57.021,57.099998,57.233002,57.424,57.676998,57.999001,58.393002,58.848,59.345001,59.865002,60.382999,60.869999,61.310001,61.691002,62.006001
50,Dominican Republic,DOM,67.865997,68.334999,68.749001,69.102997,69.397003,69.637001,69.836998,70.016998,70.193001,70.374001,70.568001,70.775002,70.989998,71.207001,71.425003,71.643997,71.862,72.078003,72.290001,72.498001,72.702003,72.901001,73.098,73.292,73.483002
51,Ecuador,ECU,68.989998,69.487,69.956001,70.400002,70.82,71.217003,71.594002,71.953003,72.296997,72.624001,72.932999,73.220001,73.482002,73.720001,73.936996,74.136002,74.321999,74.500999,74.678001,74.859001,75.045998,75.244003,75.448997,75.661003,75.878998
52,Egypt,EGY,64.580002,64.987,65.401001,65.839996,66.307999,66.789001,67.259003,67.690002,68.060997,68.367996,68.612999,68.806999,68.972,69.126999,69.281998,69.444,69.617996,69.796997,69.980003,70.167,70.357002,70.550003,70.741997,70.932999,71.120003
53,El Salvador,SLV,63.990002,64.849998,65.609001,66.266998,66.818001,67.269997,67.639999,67.958,68.252998,68.541,68.834,69.135002,69.440002,69.742996,70.047997,70.357002,70.667999,70.980003,71.291,71.598999,71.902,72.195,72.478996,72.752998,73.014999
54,Equatorial Guinea,GNQ,48.238998,48.676998,49.141998,49.619999,50.104,50.588001,51.062,51.521,51.959,52.370998,52.751999,53.098999,53.415001,53.709,53.987,54.262001,54.549999,54.858002,55.189999,55.542999,55.908001,56.264999,56.601002,56.904999,57.18
