,Country,ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
111,Myanmar,MMR,453.0,436.0,420.0,404.0,389.0,376.0,362.0,349.0,335.0,322.0,308.0,297.0,284.0,273.0,261.0,248.0,237.0,226.0,218.0,210.0,205.0,201.0,195.0,189.0,184.0,178.0
112,Namibia,NAM,338.0,335.0,330.0,324.0,323.0,320.0,320.0,324.0,329.0,341.0,352.0,367.0,379.0,387.0,391.0,390.0,371.0,344.0,331.0,321.0,319.0,315.0,299.0,283.0,273.0,265.0
113,Nepal,NPL,901.0,851.0,798.0,742.0,693.0,660.0,631.0,611.0,591.0,570.0,548.0,527.0,505.0,482.0,461.0,444.0,425.0,406.0,386.0,368.0,349.0,328.0,308.0,291.0,275.0,258.0
114,Netherlands,NLD,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,13.0,13.0,13.0,12.0,11.0,10.0,9.0,9.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0
115,New Zealand,NZL,18.0,17.0,16.0,15.0,14.0,15.0,15.0,14.0,13.0,14.0,12.0,13.0,13.0,13.0,13.0,14.0,13.0,13.0,12.0,12.0,13.0,12.0,12.0,12.0,11.0,11.0
116,Nicaragua,NIC,173.0,200.0,188.0,204.0,199.0,212.0,220.0,215.0,242.0,205.0,202.0,215.0,204.0,188.0,189.0,190.0,164.0,171.0,167.0,171.0,166.0,153.0,164.0,159.0,154.0,150.0
117,Niger,NER,873.0,858.0,848.0,839.0,836.0,828.0,823.0,818.0,811.0,805.0,794.0,786.0,774.0,757.0,738.0,723.0,711.0,699.0,679.0,661.0,657.0,635.0,619.0,596.0,574.0,553.0
118,Nigeria,NGA,1350.0,1320.0,1300.0,1280.0,1270.0,1250.0,1250.0,1240.0,1220.0,1200.0,1170.0,1140.0,1090.0,1040.0,986.0,946.0,890.0,884.0,829.0,883.0,867.0,824.0,819.0,821.0,820.0,814.0
119,North Korea,PRK,75.0,63.0,56.0,56.0,65.0,81.0,99.0,116.0,127.0,131.0,128.0,121.0,114.0,109.0,106.0,105.0,104.0,104.0,103.0,100.0,97.0,95.0,91.0,87.0,85.0,82.0
120,Norway,NOR,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0
121,Oman,OMN,30.0,27.0,24.0,22.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,21.0,20.0,19.0,19.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,17.0
122,Pakistan,PAK,431.0,418.0,403.0,388.0,375.0,363.0,353.0,342.0,330.0,318.0,306.0,294.0,282.0,271.0,259.0,249.0,239.0,230.0,223.0,217.0,211.0,204.0,197.0,190.0,184.0,178.0
123,Palestine,PSE,118.0,114.0,111.0,106.0,101.0,96.0,90.0,83.0,78.0,75.0,72.0,70.0,68.0,66.0,64.0,62.0,61.0,60.0,58.0,56.0,54.0,52.0,50.0,48.0,47.0,45.0
124,Panama,PAN,102.0,98.0,96.0,91.0,85.0,94.0,89.0,96.0,98.0,82.0,82.0,79.0,85.0,88.0,85.0,87.0,88.0,89.0,92.0,94.0,101.0,102.0,101.0,99.0,97.0,94.0
125,Papua New Guinea,PNG,470.0,447.0,427.0,405.0,388.0,377.0,371.0,365.0,360.0,353.0,342.0,330.0,318.0,305.0,290.0,277.0,264.0,259.0,258.0,249.0,238.0,231.0,227.0,224.0,220.0,215.0
126,Paraguay,PRY,150.0,149.0,149.0,147.0,147.0,147.0,153.0,143.0,143.0,149.0,158.0,157.0,160.0,163.0,181.0,159.0,166.0,148.0,149.0,155.0,139.0,145.0,139.0,136.0,134.0,132.0
127,Peru,PER,251.0,243.0,234.0,223.0,215.0,206.0,199.0,181.0,168.0,157.0,140.0,126.0,124.0,120.0,121.0,114.0,99.0,95.0,99.0,94.0,92.0,85.0,75.0,72.0,70.0,68.0
128,Philippines,PHL,152.0,134.0,139.0,135.0,121.0,122.0,122.0,119.0,122.0,117.0,124.0,128.0,127.0,125.0,126.0,127.0,127.0,128.0,129.0,131.0,129.0,127.0,126.0,121.0,117.0,114.0
129,Poland,POL,17.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0
130,Portugal,PRT,17.0,17.0,17.0,16.0,15.0,15.0,15.0,15.0,14.0,14.0,13.0,13.0,13.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,10.0,10.0,10.0
131,Puerto Rico,PRI,26.0,26.0,26.0,25.0,25.0,25.0,24.0,24.0,23.0,23.0,22.0,21.0,20.0,20.0,19.0,19.0,18.0,18.0,17.0,17.0,16.0,16.0,15.0,15.0,15.0,14.0
132,Qatar,QAT,29.0,30.0,29.0,29.0,29.0,28.0,26.0,25.0,24.0,24.0,24.0,23.0,23.0,21.0,21.0,21.0,21.0,19.0,17.0,17.0,16.0,15.0,14.0,13.0,13.0,13.0
133,Romania,ROU,124.0,106.0,96.0,87.0,81.0,77.0,73.0,69.0,62.0,56.0,51.0,46.0,44.0,40.0,35.0,33.0,30.0,29.0,29.0,30.0,30.0,30.0,30.0,31.0,31.0,31.0
134,Russia,RUS,63.0,63.0,67.0,81.0,88.0,82.0,71.0,62.0,57.0,59.0,57.0,54.0,51.0,49.0,44.0,42.0,36.0,34.0,32.0,30.0,29.0,27.0,26.0,25.0,25.0,25.0
135,Rwanda,RWA,1300.0,1290.0,1300.0,1290.0,1270.0,1260.0,1260.0,1230.0,1130.0,1070.0,1020.0,946.0,870.0,770.0,662.0,567.0,534.0,495.0,452.0,411.0,381.0,361.0,336.0,318.0,304.0,290.0
136,Saint Lucia,LCA,45.0,42.0,40.0,39.0,40.0,43.0,46.0,49.0,51.0,52.0,54.0,58.0,62.0,68.0,68.0,67.0,59.0,61.0,58.0,56.0,54.0,52.0,50.0,49.0,49.0,48.0
137,Saint Vincent and the Grenadines,VCT,58.0,60.0,60.0,67.0,74.0,81.0,88.0,86.0,81.0,76.0,74.0,69.0,68.0,64.0,54.0,50.0,50.0,51.0,52.0,51.0,50.0,48.0,47.0,46.0,45.0,45.0
138,Samoa,WSM,156.0,147.0,139.0,132.0,125.0,119.0,112.0,106.0,101.0,96.0,93.0,88.0,85.0,82.0,79.0,77.0,74.0,71.0,69.0,66.0,64.0,61.0,59.0,56.0,53.0,51.0
139,Sao Tome and Principe,STP,330.0,317.0,303.0,291.0,271.0,263.0,254.0,244.0,237.0,231.0,222.0,215.0,207.0,199.0,191.0,181.0,176.0,173.0,167.0,166.0,162.0,161.0,162.0,161.0,159.0,156.0
140,Saudi Arabia,SAU,46.0,43.0,41.0,38.0,36.0,33.0,30.0,28.0,26.0,25.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,14.0,13.0,13.0,12.0,12.0,12.0
141,Senegal,SEN,540.0,527.0,519.0,513.0,511.0,509.0,508.0,506.0,501.0,496.0,488.0,481.0,474.0,462.0,445.0,427.0,426.0,414.0,398.0,387.0,375.0,365.0,351.0,335.0,323.0,315.0
142,Serbia,SRB,14.0,15.0,15.0,16.0,16.0,15.0,16.0,16.0,17.0,17.0,17.0,17.0,16.0,16.0,15.0,15.0,15.0,14.0,15.0,15.0,16.0,16.0,16.0,17.0,17.0,17.0
143,Sierra Leone,SLE,2630.0,2700.0,2780.0,2850.0,2900.0,2900.0,2890.0,2870.0,2820.0,2750.0,2650.0,2530.0,2390.0,2270.0,2110.0,1990.0,1880.0,1800.0,1730.0,1680.0,1630.0,1580.0,1510.0,1460.0,1410.0,1360.0
144,Singapore,SGP,12.0,10.0,11.0,11.0,12.0,13.0,14.0,15.0,16.0,18.0,18.0,18.0,18.0,17.0,17.0,16.0,16.0,14.0,14.0,12.0,11.0,12.0,12.0,11.0,10.0,10.0
145,Slovakia,SVK,11.0,11.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
146,Slovenia,SVN,12.0,12.0,13.0,12.0,13.0,12.0,12.0,11.0,12.0,12.0,12.0,11.0,12.0,11.0,12.0,11.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0
147,Solomon Islands,SLB,364.0,345.0,325.0,304.0,288.0,273.0,259.0,247.0,237.0,226.0,214.0,203.0,192.0,182.0,172.0,164.0,158.0,152.0,147.0,142.0,136.0,131.0,126.0,122.0,118.0,114.0
148,Somalia,SOM,1210.0,1210.0,1210.0,1210.0,1200.0,1190.0,1190.0,1160.0,1130.0,1110.0,1080.0,1050.0,1020.0,999.0,971.0,939.0,911.0,885.0,865.0,846.0,820.0,808.0,791.0,775.0,753.0,732.0
149,South Africa,ZAF,108.0,98.0,88.0,77.0,69.0,62.0,60.0,61.0,66.0,76.0,85.0,89.0,95.0,102.0,107.0,112.0,119.0,126.0,138.0,148.0,154.0,154.0,152.0,145.0,140.0,138.0
150,South Korea,KOR,21.0,21.0,20.0,19.0,19.0,19.0,19.0,18.0,17.0,16.0,16.0,14.0,14.0,15.0,14.0,14.0,13.0,14.0,14.0,15.0,15.0,14.0,13.0,12.0,12.0,11.0
151,South Sudan,SSD,1730.0,1700.0,1670.0,1630.0,1580.0,1530.0,1470.0,1410.0,1370.0,1340.0,1310.0,1270.0,1230.0,1190.0,1150.0,1090.0,1030.0,971.0,928.0,886.0,876.0,869.0,857.0,841.0,823.0,789.0
152,Spain,ESP,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
153,Sri Lanka,LKA,75.0,73.0,72.0,68.0,69.0,70.0,68.0,67.0,60.0,58.0,57.0,47.0,45.0,46.0,44.0,43.0,42.0,39.0,38.0,36.0,35.0,33.0,32.0,32.0,31.0,30.0
154,Sudan,SDN,744.0,726.0,711.0,690.0,667.0,648.0,627.0,605.0,582.0,562.0,544.0,524.0,504.0,486.0,463.0,440.0,418.0,396.0,376.0,361.0,349.0,339.0,330.0,325.0,318.0,311.0
155,Suriname,SUR,127.0,122.0,137.0,153.0,174.0,177.0,184.0,192.0,213.0,237.0,259.0,267.0,271.0,261.0,241.0,223.0,218.0,217.0,194.0,177.0,169.0,157.0,155.0,162.0,158.0,155.0
156,Swaziland,SWZ,635.0,602.0,570.0,549.0,538.0,537.0,545.0,553.0,567.0,579.0,586.0,597.0,601.0,601.0,601.0,595.0,561.0,517.0,476.0,451.0,436.0,418.0,400.0,413.0,400.0,389.0
157,Sweden,SWE,8.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
158,Switzerland,CHE,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0
159,Syria,SYR,123.0,114.0,106.0,99.0,94.0,89.0,85.0,82.0,80.0,77.0,73.0,70.0,67.0,64.0,61.0,58.0,55.0,53.0,51.0,49.0,49.0,52.0,56.0,60.0,64.0,68.0
160,Tajikistan,TJK,107.0,108.0,113.0,151.0,140.0,129.0,116.0,103.0,89.0,74.0,68.0,69.0,58.0,48.0,46.0,46.0,39.0,38.0,37.0,37.0,35.0,35.0,34.0,34.0,33.0,32.0
161,Tanzania,TZA,997.0,996.0,998.0,995.0,979.0,961.0,944.0,924.0,900.0,870.0,842.0,813.0,777.0,747.0,717.0,687.0,652.0,608.0,566.0,542.0,514.0,483.0,464.0,438.0,418.0,398.0
162,Thailand,THA,40.0,36.0,31.0,28.0,25.0,23.0,22.0,22.0,22.0,23.0,25.0,26.0,27.0,28.0,28.0,26.0,24.0,24.0,24.0,23.0,23.0,22.0,22.0,21.0,21.0,20.0
163,Timor,TLS,1080.0,1050.0,1030.0,1000.0,958.0,897.0,857.0,819.0,769.0,724.0,694.0,646.0,601.0,567.0,539.0,506.0,466.0,425.0,387.0,350.0,317.0,289.0,267.0,248.0,231.0,215.0
164,Togo,TGO,568.0,573.0,571.0,566.0,566.0,563.0,556.0,541.0,521.0,505.0,491.0,474.0,459.0,446.0,434.0,427.0,427.0,416.0,402.0,395.0,393.0,396.0,391.0,386.0,378.0,368.0
165,Tonga,TON,75.0,79.0,83.0,89.0,93.0,100.0,106.0,106.0,102.0,100.0,97.0,94.0,102.0,106.0,110.0,114.0,118.0,122.0,125.0,127.0,130.0,133.0,135.0,131.0,127.0,124.0
166,Trinidad and Tobago,TTO,90.0,89.0,87.0,84.0,80.0,77.0,73.0,68.0,63.0,64.0,62.0,61.0,60.0,62.0,63.0,62.0,62.0,64.0,63.0,64.0,65.0,65.0,63.0,64.0,63.0,63.0
167,Tunisia,TUN,131.0,125.0,120.0,118.0,114.0,112.0,99.0,101.0,91.0,87.0,84.0,83.0,81.0,78.0,76.0,74.0,72.0,71.0,69.0,68.0,67.0,66.0,64.0,64.0,63.0,62.0
168,Turkey,TUR,97.0,93.0,91.0,89.0,87.0,86.0,84.0,83.0,82.0,81.0,79.0,77.0,74.0,70.0,65.0,57.0,48.0,39.0,32.0,27.0,23.0,21.0,19.0,18.0,17.0,16.0
169,Turkmenistan,TKM,82.0,90.0,89.0,90.0,88.0,74.0,75.0,66.0,61.0,61.0,59.0,57.0,56.0,56.0,55.0,53.0,52.0,51.0,49.0,47.0,46.0,46.0,45.0,44.0,43.0,42.0
170,Uganda,UGA,687.0,688.0,692.0,693.0,692.0,684.0,678.0,668.0,658.0,639.0,620.0,601.0,576.0,558.0,536.0,504.0,481.0,469.0,451.0,432.0,420.0,408.0,395.0,372.0,356.0,343.0
171,Ukraine,UKR,46.0,46.0,47.0,47.0,49.0,52.0,48.0,42.0,37.0,36.0,34.0,32.0,30.0,29.0,29.0,30.0,28.0,31.0,32.0,28.0,26.0,25.0,25.0,24.0,24.0,24.0
172,United Arab Emirates,ARE,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
173,United Kingdom,GBR,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0
174,United States,USA,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0
175,Uruguay,URY,37.0,41.0,36.0,37.0,36.0,36.0,33.0,33.0,33.0,29.0,31.0,30.0,31.0,28.0,28.0,26.0,25.0,23.0,20.0,20.0,19.0,17.0,16.0,16.0,15.0,15.0
176,Uzbekistan,UZB,54.0,51.0,45.0,42.0,37.0,32.0,31.0,29.0,30.0,30.0,34.0,39.0,42.0,42.0,40.0,42.0,41.0,41.0,40.0,40.0,39.0,38.0,38.0,37.0,37.0,36.0
177,Vanuatu,VUT,225.0,217.0,206.0,199.0,192.0,184.0,175.0,167.0,157.0,151.0,144.0,137.0,132.0,127.0,121.0,116.0,110.0,106.0,101.0,98.0,94.0,91.0,87.0,84.0,81.0,78.0
178,Venezuela,VEN,94.0,93.0,93.0,91.0,93.0,90.0,92.0,92.0,88.0,91.0,90.0,94.0,103.0,99.0,95.0,93.0,96.0,97.0,97.0,98.0,99.0,99.0,98.0,98.0,97.0,95.0
179,Vietnam,VNM,139.0,132.0,126.0,119.0,113.0,107.0,101.0,95.0,90.0,85.0,81.0,76.0,72.0,68.0,64.0,61.0,59.0,58.0,58.0,57.0,58.0,56.0,56.0,55.0,54.0,54.0
180,World,OWID,385.0,381.0,378.0,375.0,372.0,369.0,366.0,361.0,356.0,349.0,341.0,332.0,322.0,310.0,299.0,288.0,277.0,268.0,258.0,254.0,246.0,237.0,232.0,226.0,221.0,216.0
181,Yemen,YEM,547.0,535.0,523.0,517.0,507.0,498.0,488.0,476.0,462.0,451.0,440.0,435.0,431.0,429.0,429.0,428.0,428.0,424.0,417.0,417.0,416.0,413.0,410.0,406.0,398.0,385.0
182,Zambia,ZMB,577.0,584.0,589.0,592.0,597.0,596.0,598.0,598.0,596.0,569.0,541.0,518.0,493.0,472.0,414.0,372.0,338.0,311.0,289.0,274.0,262.0,251.0,243.0,237.0,231.0,224.0
183,Zimbabwe,ZWE,440.0,428.0,414.0,405.0,427.0,449.0,479.0,505.0,530.0,563.0,590.0,621.0,642.0,657.0,648.0,629.0,600.0,564.0,533.0,485.0,446.0,409.0,379.0,369.0,401.0,443.0
