,Country,ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
26,Cambodia,KHM,1020.0,955.0,896.0,842.0,789.0,730.0,682.0,633.0,582.0,532.0,484.0,441.0,402.0,367.0,341.0,315.0,284.0,257.0,237.0,217.0,202.0,188.0,178.0,173.0,167.0,161.0
27,Cameroon,CMR,728.0,732.0,740.0,743.0,749.0,749.0,753.0,751.0,749.0,750.0,750.0,751.0,742.0,732.0,723.0,729.0,725.0,710.0,707.0,696.0,676.0,652.0,632.0,619.0,609.0,596.0
28,Canada,CAN,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0
29,Cape Verde,CPV,256.0,233.0,212.0,193.0,170.0,150.0,134.0,119.0,104.0,94.0,83.0,75.0,68.0,61.0,56.0,54.0,60.0,60.0,57.0,54.0,51.0,50.0,48.0,46.0,44.0,42.0
30,Central African Republic,CAF,1290.0,1310.0,1320.0,1320.0,1320.0,1300.0,1290.0,1280.0,1260.0,1230.0,1200.0,1190.0,1170.0,1150.0,1110.0,1060.0,1020.0,992.0,963.0,941.0,909.0,888.0,876.0,873.0,872.0,882.0
31,Chad,TCD,1450.0,1440.0,1450.0,1440.0,1440.0,1430.0,1410.0,1410.0,1390.0,1390.0,1370.0,1360.0,1310.0,1260.0,1220.0,1170.0,1130.0,1100.0,1070.0,1070.0,1040.0,984.0,931.0,901.0,881.0,856.0
32,Chile,CHL,57.0,52.0,48.0,45.0,43.0,41.0,39.0,36.0,34.0,34.0,31.0,32.0,29.0,29.0,29.0,27.0,28.0,29.0,28.0,27.0,26.0,25.0,24.0,23.0,23.0,22.0
33,China,CHN,97.0,92.0,87.0,82.0,77.0,72.0,68.0,64.0,62.0,60.0,58.0,56.0,54.0,52.0,50.0,48.0,45.0,43.0,40.0,38.0,35.0,33.0,31.0,29.0,28.0,27.0
34,Colombia,COL,118.0,120.0,118.0,114.0,109.0,105.0,103.0,98.0,99.0,98.0,97.0,95.0,93.0,89.0,83.0,80.0,77.0,75.0,73.0,73.0,72.0,69.0,66.0,67.0,66.0,64.0
35,Comoros,COM,635.0,619.0,606.0,592.0,576.0,563.0,549.0,533.0,521.0,509.0,499.0,484.0,471.0,458.0,447.0,436.0,426.0,415.0,407.0,396.0,388.0,376.0,365.0,354.0,344.0,335.0
36,Congo,COG,603.0,608.0,612.0,615.0,627.0,634.0,646.0,653.0,651.0,657.0,653.0,657.0,655.0,641.0,622.0,596.0,575.0,555.0,537.0,525.0,509.0,494.0,483.0,469.0,452.0,442.0
37,Costa Rica,CRI,43.0,45.0,43.0,41.0,43.0,44.0,44.0,42.0,39.0,40.0,38.0,36.0,37.0,36.0,32.0,31.0,33.0,29.0,30.0,32.0,29.0,28.0,27.0,26.0,26.0,25.0
38,Cote d'Ivoire,CIV,745.0,741.0,741.0,753.0,741.0,711.0,686.0,674.0,678.0,674.0,671.0,678.0,683.0,700.0,725.0,742.0,745.0,745.0,745.0,732.0,717.0,715.0,715.0,688.0,665.0,645.0
39,Croatia,HRV,10.0,12.0,11.0,11.0,12.0,12.0,14.0,12.0,12.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0
40,Cuba,CUB,58.0,59.0,60.0,58.0,57.0,55.0,52.0,49.0,49.0,44.0,43.0,41.0,39.0,39.0,40.0,41.0,38.0,40.0,42.0,43.0,44.0,43.0,41.0,41.0,40.0,39.0
41,Cyprus,CYP,16.0,15.0,17.0,14.0,17.0,17.0,13.0,14.0,14.0,14.0,15.0,9.0,10.0,9.0,9.0,12.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0
42,Czech Republic,CZE,14.0,14.0,13.0,12.0,11.0,10.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0
43,Democratic Republic of Congo,COD,879.0,881.0,883.0,890.0,904.0,914.0,920.0,919.0,915.0,902.0,874.0,853.0,830.0,808.0,793.0,787.0,789.0,803.0,792.0,793.0,794.0,777.0,771.0,746.0,717.0,693.0
44,Denmark,DNK,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0,6.0
45,Djibouti,DJI,517.0,499.0,477.0,466.0,459.0,452.0,445.0,429.0,420.0,410.0,401.0,396.0,382.0,371.0,357.0,341.0,330.0,321.0,309.0,290.0,275.0,266.0,257.0,243.0,237.0,229.0
46,Dominican Republic,DOM,198.0,209.0,194.0,196.0,181.0,198.0,190.0,186.0,171.0,96.0,79.0,75.0,66.0,69.0,77.0,64.0,110.0,81.0,85.0,105.0,75.0,115.0,62.0,106.0,98.0,92.0
47,Ecuador,ECU,185.0,181.0,172.0,164.0,147.0,131.0,124.0,110.0,116.0,111.0,103.0,98.0,91.0,81.0,75.0,74.0,71.0,68.0,68.0,72.0,75.0,78.0,74.0,70.0,66.0,64.0
48,Egypt,EGY,106.0,102.0,98.0,93.0,88.0,83.0,78.0,74.0,70.0,66.0,63.0,60.0,58.0,56.0,54.0,52.0,50.0,47.0,45.0,43.0,40.0,39.0,37.0,35.0,34.0,33.0
49,El Salvador,SLV,157.0,143.0,140.0,138.0,135.0,118.0,112.0,111.0,100.0,88.0,84.0,86.0,72.0,69.0,69.0,68.0,67.0,62.0,59.0,63.0,59.0,60.0,57.0,55.0,54.0,54.0
50,Equatorial Guinea,GNQ,1310.0,1290.0,1260.0,1230.0,1170.0,1050.0,949.0,876.0,818.0,751.0,702.0,659.0,611.0,564.0,523.0,483.0,450.0,426.0,408.0,391.0,379.0,364.0,361.0,356.0,351.0,342.0
51,Eritrea,ERI,1590.0,1520.0,1430.0,1320.0,1210.0,1100.0,977.0,900.0,829.0,770.0,733.0,700.0,669.0,647.0,627.0,619.0,615.0,619.0,614.0,599.0,579.0,561.0,540.0,533.0,524.0,501.0
52,Estonia,EST,42.0,42.0,39.0,45.0,57.0,43.0,33.0,29.0,29.0,26.0,26.0,24.0,22.0,19.0,17.0,15.0,13.0,13.0,11.0,11.0,8.0,10.0,9.0,9.0,9.0,9.0
53,Ethiopia,ETH,1250.0,1230.0,1210.0,1180.0,1130.0,1080.0,1040.0,998.0,959.0,927.0,897.0,871.0,846.0,814.0,780.0,743.0,698.0,654.0,608.0,566.0,523.0,482.0,447.0,410.0,378.0,353.0
54,Fiji,FJI,63.0,61.0,59.0,57.0,54.0,51.0,49.0,47.0,45.0,43.0,42.0,41.0,40.0,40.0,39.0,39.0,39.0,37.0,36.0,35.0,34.0,33.0,33.0,32.0,31.0,30.0
55,Finland,FIN,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
56,France,FRA,15.0,15.0,15.0,15.0,14.0,15.0,14.0,13.0,13.0,12.0,12.0,12.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0
57,Gabon,GAB,422.0,418.0,411.0,408.0,408.0,405.0,403.0,397.0,401.0,402.0,405.0,402.0,399.0,389.0,372.0,370.0,367.0,350.0,335.0,327.0,322.0,317.0,314.0,308.0,295.0,291.0
58,Gambia,GMB,1030.0,1030.0,1020.0,1010.0,994.0,977.0,961.0,943.0,931.0,910.0,887.0,869.0,854.0,841.0,822.0,807.0,798.0,789.0,774.0,767.0,753.0,753.0,741.0,730.0,719.0,706.0
59,Georgia,GEO,34.0,31.0,30.0,27.0,34.0,35.0,36.0,37.0,37.0,37.0,37.0,36.0,37.0,37.0,37.0,37.0,37.0,38.0,37.0,39.0,40.0,39.0,39.0,38.0,37.0,36.0
60,Germany,DEU,11.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0
61,Ghana,GHA,634.0,600.0,569.0,551.0,535.0,532.0,527.0,515.0,501.0,487.0,467.0,449.0,437.0,420.0,396.0,376.0,358.0,345.0,337.0,330.0,325.0,320.0,324.0,321.0,322.0,319.0
62,Greece,GRC,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
63,Grenada,GRD,41.0,38.0,38.0,39.0,38.0,37.0,33.0,30.0,29.0,29.0,29.0,29.0,28.0,27.0,26.0,25.0,25.0,25.0,25.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0
64,Guatemala,GTM,205.0,198.0,191.0,184.0,178.0,173.0,170.0,171.0,175.0,179.0,178.0,170.0,157.0,146.0,139.0,120.0,120.0,118.0,117.0,115.0,109.0,103.0,105.0,99.0,93.0,88.0
