Entity,Code,Year,Iron deficiency (deaths),Low bone mineral density (deaths),Drug use (deaths),Alcohol use (deaths),Smoking (deaths),Secondhand smoke (deaths),Household air pollution (deaths),Outdoor air pollution (deaths),No access to handwashing facility (deaths),Poor sanitation (deaths),Unsafe water source (deaths),Unsafe sex (deaths),Low physical activity (deaths),Diet low in vegetables (deaths),Diet low in fruits (deaths),High cholesterol (deaths),High blood pressure (deaths),High blood sugar (deaths),High body-mass index (obesity) (deaths)
Equatorial Guinea,GNQ,1990,0.0123654917118,11.3738296808,0.328206003804,59.765139746,29.2445176362,12.8754502996,180.694020828,99.7905221122,41.3832121088,39.5871922654,45.5472525712,9.14232362545,34.0898601656,54.4460548835,65.7968825662,69.8843623217,277.281682633,151.017104829,84.8270396252
Equatorial Guinea,GNQ,1995,0.0132874404016,12.7799373339,0.391790992675,61.2108774143,29.8414397961,12.9874188681,187.54866139,105.862408873,42.5270551737,39.8328427676,45.8057028758,12.7702320534,37.0452384031,57.5716346048,68.8330957849,77.6414957229,298.770351031,167.358239614,96.2972828143
Equatorial Guinea,GNQ,2000,0.0151276793068,14.9260973987,0.50167811108,59.4837664865,36.3383725918,11.9611985209,153.605751899,99.8353591893,34.0408546696,27.2568203726,32.4369471806,19.8612085154,33.9966449571,46.7520833116,47.7390300577,73.4180324299,266.634875427,160.414600751,113.80027659
Equatorial Guinea,GNQ,2005,0.016350880066,16.8567556309,0.598915243525,64.4866849156,35.4253845502,9.55197119819,116.224604883,75.9907009912,28.1974123197,19.2512845278,25.4217483311,28.7072587182,29.2776381659,32.1215154485,21.3852746308,61.0666639017,215.275643517,151.577532282,122.49101341
Equatorial Guinea,GNQ,2006,0.0168039316831,16.235504977,0.621141962302,66.6701696834,36.847558444,9.37541450241,114.455557422,76.5786738177,27.6843238872,18.0540264091,24.4275437649,29.9187052838,29.4794657034,31.2551993014,19.2211510192,61.2561661894,214.869102628,154.015171107,126.869464421
Equatorial Guinea,GNQ,2010,0.0172625061141,17.0535008853,0.66287681219,71.3844842696,38.2459425285,8.79905585321,102.819293363,74.9171321608,26.0183335275,15.0980460068,22.3041018266,30.8746547892,28.9800923697,26.8059773258,13.1097475059,59.1829557792,202.97929618,155.428361975,133.707482789
Equatorial Guinea,GNQ,2016,0.0186750702098,17.4135197635,0.674249914355,70.8507199193,40.8724665857,8.99741817329,85.9705981054,89.2276896463,24.4073495727,12.9016126845,20.6393183003,25.3682599784,28.33025771,24.6828863596,11.862458223,58.0271808894,193.710254168,151.022979265,135.950267684
Eritrea,ERI,1990,0.0480098000905,41.3512034214,0.484841581894,23.2175057095,71.1635528843,29.8304293979,415.464071919,222.576222861,184.102126862,223.083746393,253.003224637,32.5507910559,48.5887924982,111.66248255,160.662846823,100.818939423,588.533668008,216.823480701,52.2442556862
Eritrea,ERI,1995,0.0641199686704,42.6447101728,0.592925990657,42.6003786336,55.8277480671,26.4215749307,363.174029087,202.372926908,178.92305433,216.860817012,246.743565065,35.1242036192,43.6757533412,98.7699807624,139.616480623,95.5092704063,527.423111543,194.634853694,55.1389454969
Eritrea,ERI,2000,0.0736933380156,54.6733659845,0.902566605465,68.7123959016,66.2827603107,36.7832445767,359.076340344,227.540184095,187.405421671,220.02931799,250.318651255,47.702310074,50.7705108526,109.487825559,149.108825299,112.374384511,591.536301313,257.283993458,83.3387931557
Eritrea,ERI,2005,0.0813414805166,73.0289410064,1.25893278975,71.5748659187,90.5047835564,46.1548871238,412.186508706,280.235444668,222.000364275,255.207758755,289.673224367,64.0353536992,68.6847843278,144.07123982,192.013493849,150.835207547,778.4219409,371.134660027,127.693401609
Eritrea,ERI,2006,0.0878941848316,76.9324988546,1.30443892548,71.1761633061,93.5924173717,48.680557455,425.138058295,297.530851289,231.644823015,265.513498398,301.526658022,65.5336739887,72.5783745816,152.148030704,202.419194848,159.946376013,821.827608112,396.247157513,135.830510426
Eritrea,ERI,2010,0.103236477223,92.767075112,1.39211689647,73.9696374309,102.706609185,60.2652182614,467.22991006,368.063467014,270.459824158,306.496223218,349.897991727,66.7398869517,88.8769460392,184.853039842,244.614262819,198.419799852,994.150487895,495.439824904,167.861834083
Eritrea,ERI,2016,0.112546799888,125.61817822,1.91419352175,115.119942696,122.078491288,72.5845273638,518.507682165,516.187508668,324.792805913,354.740192453,414.328367469,80.2480013538,119.514671052,243.701972576,319.298971764,270.441696399,1320.8218783,689.034990808,245.183091868
Estonia,EST,1990,0.0505113209192,60.8144685996,9.30411809362,-303.012107567,941.965015034,266.351102416,362.407629947,684.615965113,1.0240676917,0.17433992276,0.286353456414,38.2491279731,760.339654725,903.351769977,902.343810038,2773.70422358,5074.1119351,1113.64838371,1097.43466531
Estonia,EST,1995,0.032057619355,56.1170185196,9.13529134538,-231.569935161,951.189368861,260.219970911,345.0230916,593.927151249,1.15456665546,0.19028898622,0.334511841036,38.709600592,761.958770224,915.010207087,908.051755798,2792.34347218,5137.50302237,1140.85784031,1154.10497968
Estonia,EST,2000,0.0195925677096,47.7543750349,12.904218209,24.0364823466,994.235050693,233.977383582,300.338269751,507.443540802,1.13256462965,0.192000383737,0.338874194502,33.9483984668,702.073736585,832.465996938,827.111836032,2543.7367604,4802.17271713,1154.94675001,1282.91968247
Estonia,EST,2005,0.020251454826,47.0787532249,16.7623488253,287.633732477,1022.69706769,213.019516446,269.174522105,465.307838599,0.979563303444,0.232449979096,0.380372103556,33.206772746,655.360096411,727.888681189,731.203986292,2360.9653124,4623.7721559,1179.14855336,1431.08420455
Estonia,EST,2006,0.0209597681222,47.501743591,17.3157905116,343.592640363,1043.41717391,208.155193384,258.827606383,462.092356778,0.968316586472,0.248748808582,0.400686891009,33.4059722977,646.986955745,707.543714799,713.116556683,2335.55396457,4626.57321346,1182.77380433,1471.89337334
Estonia,EST,2010,0.0254710313334,44.1442403685,19.2209883975,496.16154419,949.04055114,171.165287244,198.772895272,401.446773301,0.85696862374,0.316669930704,0.487370543606,31.2042088274,566.73904602,567.011139543,573.516391381,2058.83298572,4375.0769488,1080.07719628,1548.41926891
Estonia,EST,2016,0.0317619624957,49.3793630143,21.3600110055,571.539471732,908.612519531,177.864653459,163.127223581,294.094826277,0.884850970863,0.383883135872,0.571131847052,31.5577014532,619.399672919,562.075339327,574.927738421,2264.09106031,4809.30025082,1176.78454579,1779.27218757
Ethiopia,ETH,1990,2.73825772963,1733.10366499,45.2724213589,2095.78551097,4079.52482474,450.226477055,14894.759982,7373.22754122,5987.55818921,6776.01103256,7554.82220057,1078.92687409,1813.21835719,4336.6670371,5991.18447729,2428.06877242,20301.6319222,9084.18291929,1436.31369776
Ethiopia,ETH,1995,3.15611691877,2062.60312093,67.0950579999,2342.33964596,4257.19412097,491.200099727,17434.6283084,8528.96055173,7400.52223289,8470.19875126,9445.24994878,1745.05248081,2103.36551142,4969.41387583,6861.84979622,2860.3861767,23733.167594,10355.6093439,1665.93949603
Ethiopia,ETH,2000,3.43566024064,2266.48568635,81.886386028,3012.23506484,3760.50739659,540.43325663,18175.8118846,8720.14860296,7851.13590752,9038.32280578,10074.4681795,2390.40473534,2196.00538715,5101.17346197,6967.32372087,3152.24654604,25100.5510754,10817.9571063,2086.77625607
Ethiopia,ETH,2005,2.51969804554,2392.87412423,89.2863750749,3190.73359561,3935.56323007,536.294001879,19516.0351319,8942.2300582,7979.42392146,9143.43361521,10156.9987615,2702.05780495,2571.60067169,5825.50419686,7710.60223826,3782.12040053,28466.3068914,12277.890347,3160.9591249
Ethiopia,ETH,2006,2.42629362712,2482.52019546,89.6963778751,3119.62409502,4099.8888515,531.231465914,19943.631734,9246.44554541,8138.65236686,9305.19088748,10326.0320321,2596.13942157,2653.48283783,5972.53876514,7874.09650322,3925.89430471,29263.0761879,12692.0469655,3435.93200855
Ethiopia,ETH,2010,2.34124289151,2962.56066239,81.768441319,2880.1327125,4581.31592518,548.818646828,21216.3073903,10340.5176846,8762.08310207,9942.0508621,11000.8350363,1747.69393418,2905.55995159,6279.68758312,8259.37037054,4390.65968189,31698.5559337,14000.3524259,4535.43605981
Ethiopia,ETH,2016,2.62037966025,3842.4524133,102.654394032,3227.53651378,5467.22830398,659.577840139,23631.55423,14129.1271235,9261.26702048,10376.2745427,11404.5967113,1912.29369221,3498.31237251,7262.86619815,9543.63312462,5514.95375662,37607.3598817,17144.9893488,7263.81842449
Fiji,FJI,1990,0.00197994485845,3.29140281755,0.42325371475,3.48520077144,96.6031712256,41.100759274,81.1596143436,29.1117626652,5.79817679223,11.3341407935,19.7678565791,6.97701103755,42.3411318192,54.3677522076,78.1572121733,90.4913646806,301.169307985,381.342204179,204.707132676
Fiji,FJI,1995,0.00199782632216,3.77723000296,0.485499114679,2.32833250433,99.2960359603,50.670584334,76.7135622206,32.5781573725,4.73376207039,8.93907025715,16.8345986387,7.32142120255,50.2129935935,59.1068770434,92.3304490888,104.36939111,349.207528477,500.035988407,283.395929328
Fiji,FJI,2000,0.00221321041615,4.4537034159,0.583164321814,1.34610262076,103.767798278,61.1020947989,70.1632669127,36.4840807426,4.08391024583,6.99866643728,14.186964934,7.86323067097,57.7720886392,63.6106331308,104.462324568,115.794965382,400.082420217,621.997564426,371.312923304
Fiji,FJI,2005,0.00269869712078,5.58742474777,0.681286386567,4.21592542227,114.796242556,71.5819433199,63.4636150772,42.6478658467,4.05616431019,6.51359678225,13.9453588643,9.21200418002,66.90308153,70.2749101114,119.436786773,130.226273879,464.620581653,771.195019314,475.830203437
Fiji,FJI,2006,0.0028591512523,5.86367449649,0.689044943823,5.76292487076,117.619665892,73.9438539017,63.2797307428,42.2952859253,4.07564758922,6.51068166704,14.023563423,9.6349397239,69.7938166893,73.8582463383,124.032745009,137.073270068,489.362062088,799.66333705,495.416196533
Fiji,FJI,2010,0.00337954594879,6.84930304434,0.770553127526,12.9467533569,124.232053465,86.8355448015,60.1685293975,39.1067457702,4.23208736722,6.86486348808,14.9700069965,11.3545904665,81.9782813552,86.3943350692,143.114900513,162.4091658,576.317191298,956.277327299,588.478103835
Fiji,FJI,2016,0.00465682923727,9.30478373068,1.12222829288,23.4443124018,139.575848815,109.189815466,56.5511286071,54.8255463051,4.76445225932,8.15342120449,17.4427369769,15.6484095528,106.40840436,109.500172089,184.464618063,210.421902153,743.792647366,1283.76115791,782.179723071
Finland,FIN,1990,0.0556939340537,451.604749244,52.6897893827,178.116854881,3282.21528098,241.576508987,92.2001324717,1359.31176584,15.7854596235,3.32969153867,3.76500786187,84.5975290728,1910.1132417,1966.43439744,1707.14700152,6215.26897915,11306.7882648,4310.80266733,2823.50613449
Finland,FIN,1995,0.0540498982028,493.413516899,68.8980072268,201.828623884,3150.00205736,205.568956791,62.1700627437,1231.40399307,16.6581836924,2.51641941775,3.05013610416,70.3112751493,1851.48321081,1844.51372428,1687.90439086,5933.58733982,10762.6680286,4044.91685527,2825.56440195
Finland,FIN,2000,0.0607704881605,613.784745686,91.1251715481,439.386615734,3255.99345791,175.746262924,47.008143958,1131.56570264,15.0343852476,1.73512441841,2.37388349745,61.723526114,1781.87120815,1702.71690473,1593.31609525,5541.68133071,10293.8601654,3994.04364489,3275.82503165
Finland,FIN,2005,0.0671044002802,664.230178847,118.699263928,638.084005522,3114.65276821,142.402992518,32.5893853718,976.185829316,9.13156612534,1.6052991951,2.58042259461,56.3415503149,1686.80204383,1545.37728627,1443.22465222,5074.30202353,9727.75164662,3821.91805239,3579.31327245
Finland,FIN,2006,0.0666718463066,678.56482414,126.571104048,681.272487691,3149.83818115,140.899523489,30.9673077528,983.399285362,8.51959727139,1.69882004837,2.83318518527,56.6641542537,1706.32115105,1552.5683111,1446.85092866,5122.7761435,9870.78313846,3900.11589025,3678.54438402
Finland,FIN,2010,0.077443414807,740.491834265,155.068680384,731.275894533,3124.48419831,138.485967776,25.0206039928,993.643496799,7.12635397796,1.75845503088,3.3473470857,56.1712625077,1752.91925828,1527.12081092,1418.40053648,5156.94955356,10197.5416076,4167.98595653,4001.39394785
Finland,FIN,2016,0.0910390807313,797.954420851,180.318846973,814.019857292,2974.0023959,138.913175939,19.4393014494,832.466105913,7.12450390176,1.25574724847,2.74991419469,53.6434957371,1767.4204974,1478.01122907,1382.19430587,5091.01983895,10296.2509925,4282.05851941,4375.56793289
France,FRA,1990,7.50038376887,7685.39789627,365.555741462,41848.8750627,32568.2306876,2394.46750525,1093.42065111,14220.9848476,124.43681112,86.3481623246,78.4177024211,1037.49784515,12889.5084849,9681.87773416,12277.5440818,36733.045221,77281.3992249,24285.2319301,21751.5520735
France,FRA,1995,9.95679734266,7515.85672137,565.155314855,36846.5395883,35224.6033628,2310.76130951,612.009926004,13804.1123617,144.922102586,84.0638670409,87.1978463764,1026.13112893,12742.9132609,10289.4012548,12254.7408359,35733.7507393,77106.1419409,25482.7962562,22905.7392642
France,FRA,2000,15.1669037292,8084.98133064,989.407545794,31600.4988011,37558.1861575,2292.03794785,424.483640356,13211.8693246,161.58119622,83.7310250847,100.159783017,1007.21630138,12647.4633036,10912.6140462,12912.3685523,33570.2031154,77269.6299649,28562.1943765,28884.8797637
France,FRA,2005,17.290274868,8077.15256883,1480.87596658,28793.1072899,37142.5048281,2011.33132438,311.656670081,12249.7527124,167.508825956,80.4260850378,111.864305519,962.524468277,11950.8382841,10239.7847544,12366.7215365,30711.2651737,71665.2537484,29436.8242877,32350.2366023
France,FRA,2006,15.8619780244,8059.31819691,1581.19693032,28180.0825195,37236.0114414,1987.6228268,292.556418816,12087.6287768,169.454435467,82.7311937552,118.38225573,961.73011386,11798.7559429,10098.4494438,12248.8141962,30339.1667218,70761.5890849,29498.1496241,32389.5074683
France,FRA,2010,15.6398382944,8595.73969674,2137.83755448,26426.6410893,38891.1510398,1702.1955728,242.36227159,12040.595904,196.799430435,101.94840804,162.361354894,988.759584973,11750.9242473,9854.91241337,12031.2600892,29923.4171971,70029.9512708,30233.3640913,32970.4454252
France,FRA,2016,17.6430120821,9725.37349987,2854.15683868,25818.1208421,37692.7409991,1658.97210317,201.061537167,12513.175452,220.572900061,103.035501969,182.331815974,950.850935935,12623.4367203,10503.8949312,12495.5244179,32129.6178214,75779.6028539,32497.7683089,35818.0074754
Gabon,GAB,1990,0.0424777731373,50.8315696694,1.31184529149,346.730961412,177.188333955,52.2820498945,361.645624116,269.110858806,151.153773636,162.559561108,196.563971817,28.1285154066,97.1172207817,136.168847941,33.0581105162,216.12678165,812.575028452,502.20743783,257.603588934
Gabon,GAB,1995,0.0484728567397,59.7579231593,1.64008377196,283.944271285,194.682985509,58.592040968,337.508847081,302.780461285,153.445968499,162.760786664,196.847066659,47.0992080714,113.244241472,153.256697692,41.9407787777,257.400437653,936.46942944,604.353338754,335.135303242
Gabon,GAB,2000,0.0537101315069,71.8836676344,2.02714616467,262.907727765,194.413413369,70.9755509207,272.742314019,342.389640466,162.361305081,173.322832991,204.165700255,82.1154588743,132.03045146,174.015340115,55.2401242711,295.089884242,1097.28458618,696.839632199,454.726165053
Gabon,GAB,2005,0.0640290360138,79.7074848814,2.28529911388,269.987126398,183.472619989,67.8930013335,206.873760822,329.792987595,159.956653435,167.416763257,195.862939369,100.650180985,139.679117165,180.272442022,65.9673816289,302.746954859,1175.88133983,770.163714591,536.392962741
Gabon,GAB,2006,0.0661044620705,80.8502592004,2.27570140624,268.533644066,178.932450354,65.3179094574,195.943945454,329.954984142,157.606961406,164.406381327,192.183478426,96.6369987339,140.004412506,180.15174314,65.5912492511,303.142176425,1181.05618353,781.051965522,545.800945369
Gabon,GAB,2010,0.0721685153779,80.3321814513,2.34144163092,253.520359572,160.672125388,54.406175317,144.129074886,314.714332967,146.084434134,152.321658604,176.201474956,89.2548054338,133.69203327,167.948543151,60.9093890374,286.514471869,1122.20570542,760.344154707,542.434082969
Gabon,GAB,2016,0.0791991598605,85.4089173127,2.39515471181,263.860620924,160.669417593,52.9079679836,104.242118297,357.809320143,129.223854253,122.809382305,149.141381397,61.9194172546,134.414022709,161.923904995,55.8908059102,288.951660033,1109.11479511,741.21095927,567.25767495
Gambia,GMB,1990,0.0250434232952,18.5324105644,0.322675163882,17.8191925887,54.1859540833,32.477819505,175.461786651,107.163464458,56.143130726,55.4883264632,61.8990536995,3.88498443875,26.3049631115,42.8845911566,54.8552446534,52.0658004731,223.615656465,68.0016309416,39.0263619066
Gambia,GMB,1995,0.0334130387436,24.4262344261,0.480952849305,21.6678795655,67.8129670299,40.1063258015,217.58296831,133.180322039,63.4607402935,57.2590722313,64.2723931595,7.51151964689,34.3042803315,53.4803817764,68.2730518057,68.7090020698,279.199200916,91.2002945224,56.2211682161
Gambia,GMB,2000,0.0324088946667,29.6900023296,0.837094587537,30.4035487613,78.8125528482,50.3389571041,254.599305398,159.163691895,64.9285292053,51.2840321987,58.2595552392,13.8469445998,43.6083326687,65.9969728808,83.0398204288,83.8199613481,343.230474713,117.461982717,74.9943512611
Gambia,GMB,2005,0.0312250971883,33.0939627773,1.30354937669,37.11825439,83.6727368022,57.5441546512,275.561213141,154.953399077,65.3960080167,47.1249429837,54.8135981539,20.1682813221,48.9087140804,73.1253504272,91.2940416191,90.8529216521,384.257005532,134.63790279,86.5989751996
Gambia,GMB,2006,0.0309754696659,33.9193246256,1.3679805071,37.3527981269,84.6288369472,57.8588645468,280.615152981,160.319115612,65.914732896,46.8103713755,54.7439520895,20.5539737307,50.0809139231,74.8176972045,93.1600061636,92.7124364107,393.464771007,138.184285276,89.5641879796
Gambia,GMB,2010,0.0290729736958,36.6623487422,1.61068298508,36.8522221754,84.0282788464,56.9419235513,291.082022914,177.91072202,67.5416697714,47.9038742955,56.8562350702,21.9117532683,54.4248492551,80.1634143961,99.5788997122,99.6889507884,424.187084934,152.361689683,103.694520528
Gambia,GMB,2016,0.0264060940307,41.0874166749,1.8965306918,35.2263973458,87.5637494246,58.334998465,319.73648303,236.027935362,74.53891101,52.6924291754,62.7948499869,19.0473903445,61.7653235097,90.6151540492,112.963559934,113.945143752,481.99390007,176.598424039,131.144498777
Georgia,GEO,1990,0.0777312244183,63.6172097935,63.6011877921,-246.324834128,1531.12490796,922.821168371,2403.79935006,2232.49863208,7.73160115013,4.25927482933,5.28528853317,65.0015246335,1700.83395627,2085.75772026,2175.5625851,4329.92213564,12958.0330527,2580.81017887,2942.24847178
Georgia,GEO,1995,0.0569176718439,42.6018393109,71.3172779814,-521.228197136,1287.10367216,894.585204586,2114.15585516,1917.66780558,6.79824717176,4.89226171125,6.02642346892,54.0094462272,1639.73564954,2067.07761569,2230.4117714,4243.42511243,12435.0566589,2443.50013779,2748.48495928
Georgia,GEO,2000,0.0806083626222,38.7463788934,104.978204469,-338.749734733,1778.03771772,990.394160378,2394.41336702,2162.03045775,7.17667473546,4.71217083426,5.69424544427,49.9293772708,1764.52338198,2323.52776003,2718.94559254,4457.26186188,13606.4921116,2730.2029011,3259.25817708
Georgia,GEO,2005,0.0561691732117,59.9588293155,114.181762822,10.1174262619,2375.10257564,1098.22514291,2933.65437779,2467.00890451,6.66241913976,3.01538317944,3.61232587884,56.2655942702,1773.66978997,2418.97159349,2933.56251006,4554.12289174,14968.3098657,3253.53058189,3883.64212501
Georgia,GEO,2006,0.055202195231,61.2536969314,110.788750878,120.315736979,2395.74643174,1068.006438,2828.71848575,2426.28537797,6.18726046758,2.26789453155,2.6843674722,57.5721014387,1694.37003496,2314.11153477,2814.60767652,4367.06335878,14492.67944,3142.76844715,3830.69012307
Georgia,GEO,2010,0.0654285742361,78.0026188333,133.509516322,408.989917091,2679.52993291,1070.95111337,2646.90214499,2593.37473725,6.17029689735,2.51468124823,2.78309059421,63.6522715602,1773.89759747,2305.77512839,2777.00563552,4622.71471503,15019.3432854,3312.31789597,4355.37067229
Georgia,GEO,2016,0.0718502564708,99.7273297925,135.657273863,529.797049255,2366.54276082,911.571940607,2002.59703072,2319.06416922,5.44676130426,2.44486565224,2.60697108689,58.8484418295,1762.792821,2003.68968616,2407.27746223,4630.11549119,14570.9496755,3441.97559982,4358.85215708
Germany,DEU,1990,5.78186621182,6860.01568171,360.165236474,53143.8872957,70198.354253,5937.33189778,2660.39597849,39180.7315932,97.0829568703,31.5092925942,37.8207703516,1822.36942368,36078.7403352,35522.3903811,27159.9833247,111407.189181,212539.680864,77864.8886273,69786.2944614
Germany,DEU,1995,5.65196997785,6488.32569742,457.910698136,40944.0095533,65431.3339428,4928.25583131,1726.43686893,33274.8890649,92.170956712,26.9791801378,35.9588357624,1741.36950292,32774.3893366,32181.6103945,26331.739567,98898.1852574,189247.243827,79739.87089,67867.7371455
Germany,DEU,2000,8.48631907781,6100.89116448,605.606068001,34099.6017523,64090.3586602,4248.90924254,1362.11761248,29515.1946682,103.971421566,27.7715760442,42.9337322397,1547.28501459,29603.7799066,29324.825022,25636.6729214,87046.9703392,174306.06626,81547.9221444,69678.9454333
Germany,DEU,2005,11.3452637,6564.71492227,808.117294554,31670.2836417,65092.109683,3696.18758408,1145.91454095,26942.5793228,140.719926244,60.1537798382,100.904545673,1378.40507391,27173.129333,26217.8636199,24221.4774317,76591.7059953,163697.106922,79045.3955112,69458.0630268
Germany,DEU,2006,11.9131384076,6725.52150331,888.432267849,31697.9042469,65997.0738416,3634.31680867,1117.19594877,26939.2686072,153.25038879,71.7642521402,121.305500491,1365.12756559,26891.4858443,25846.9781174,24084.9691824,75711.7255948,163339.057364,79878.7071548,69753.0685277
Germany,DEU,2010,14.4076370388,7628.99476778,1325.59539837,31074.5281348,71189.4044297,3659.77344967,991.783235135,27751.7867991,214.09197454,125.634186597,216.876740455,1362.10759076,26787.698556,24814.5951184,23930.5831458,74325.4346148,166250.627443,82733.9570886,73375.2643319
Germany,DEU,2016,17.7641807339,8749.51500648,2188.48010672,31140.4587939,76480.649322,3825.00618967,821.688111911,29388.0747976,244.533104317,136.324626036,242.091389311,1368.07553273,28677.5679032,25893.3622927,24832.3600885,78811.642579,179363.45601,86927.7629467,83424.9496623
Ghana,GHA,1990,39.4809934069,264.891655868,4.99747175345,1995.36168763,743.621463558,117.727073152,2849.38005088,1580.86808548,756.217823755,648.855495521,740.900886684,148.964557087,416.63521282,786.638014763,602.484394859,631.03325576,3828.57637679,1451.34814205,380.18619308
Ghana,GHA,1995,46.1094650183,337.944651392,8.41417171582,2237.6134404,928.594680433,143.724885698,3435.15134742,1938.03824082,894.146861545,716.859715976,816.40285818,277.082783047,514.854132719,918.24627523,616.68799455,787.385791576,4608.22948878,1902.98540029,661.088183601
Ghana,GHA,2000,39.7203546191,408.708369548,12.0582496194,2305.44452297,1126.28887921,245.261717775,4102.00265306,2392.5061359,969.887785618,669.894021359,768.722133704,421.171490292,660.011764029,1158.56925399,622.666104331,1054.78454387,5860.47673923,2480.70205967,1086.65916785
Ghana,GHA,2005,44.5811805866,674.484895179,23.8106629378,2866.27000874,1426.95027335,277.471320814,5312.75372914,2721.8093829,1205.53580449,699.442640586,827.322129999,577.222875138,915.442764495,1499.68640703,600.732870133,1507.01735913,7637.78900758,3728.00199282,1711.01917052
Ghana,GHA,2006,44.6530603813,724.890266004,27.7183798513,3032.82328997,1479.45955206,272.586705241,5551.88630266,2869.53636702,1245.2791026,707.301324472,840.709716727,590.812448875,979.833257382,1588.63437366,596.658064126,1622.33494234,8114.73313816,4043.60552763,1862.56123696
Ghana,GHA,2010,51.4902761364,946.968885788,34.7673366249,3788.63082586,1640.48755157,281.426497364,6394.22222943,3459.36847169,1430.70590088,769.691206027,929.436342704,557.58732847,1232.38931792,1916.21899052,539.802302459,2137.10821881,10083.0952401,5137.66246309,2556.41098174
Ghana,GHA,2016,41.1260324189,990.553588725,36.4087651947,3870.355787,1590.75507674,240.514842838,5423.81766044,4405.56494945,1270.76487102,573.649447413,729.235155873,356.772557721,1193.4231842,1763.52795371,539.620616406,2190.66908771,9665.73139225,5123.75534275,3084.76141045
Greece,GRC,1990,0.189158268237,470.933440985,19.8002534743,5727.0826395,9021.87304578,1920.96852506,476.193906868,3649.69763374,9.76027386006,1.05435447418,0.465695927291,147.496352699,3397.02958804,459.97703756,1714.89959724,8579.67118005,21433.1333737,7792.16744092,6353.84418102
Greece,GRC,1995,0.182663133002,399.35104616,26.9759108622,5088.37116803,9784.48227671,1739.47505988,257.085055291,3578.77538046,10.716922597,0.544689353026,0.363646052296,143.810706074,3567.15226374,723.454554392,1611.6270136,9065.9401527,20919.0293183,7778.73509211,6874.67251374
Greece,GRC,2000,0.190465078394,406.801402566,39.6307004405,4570.23044051,11043.8074621,1669.2533724,176.029544848,3752.83643997,13.5044251712,0.430818176538,0.463495086688,165.385052458,3746.77879487,1183.78053267,1526.43075054,9445.1205878,21104.9141335,8159.1255511,7954.18430898
Greece,GRC,2005,0.175992728847,425.660036656,49.4390800907,4315.20060819,11940.4945548,1569.29202821,128.718034445,3615.73494159,14.0761945175,0.461200419602,0.675823013411,174.496112579,3821.20557363,1476.19670081,1456.46878548,9593.05367744,21293.8530636,9085.53648952,9144.44411682
Greece,GRC,2006,0.175945643682,413.947464275,50.4108540007,4224.2637257,12032.9655203,1552.23731374,120.195995325,3662.48492613,13.5621194484,0.458565761569,0.706801358605,175.088616446,3805.06208674,1518.38420694,1456.64223708,9616.79719129,21198.613895,9137.44312375,9251.25607631
Greece,GRC,2010,0.162604240999,416.657707591,54.3902396424,4076.8233299,12821.4464583,1581.54020894,99.7500041528,4145.80054477,12.9726684587,0.562918110192,0.998918794555,186.747481404,4127.92548514,1774.92483423,1563.12159379,10693.7320377,22872.8828561,9599.24307027,9951.51823372
Greece,GRC,2016,0.189746990129,514.687814742,63.791113391,4100.95019253,13902.6737813,1673.50416439,84.5083841463,4600.32162636,16.9170353183,0.887242554789,1.62850788956,194.446250206,4839.00245942,2406.65922408,2232.04309065,12633.6693456,27409.6512679,10927.0969981,11006.7361352
Greenland,GRL,1990,0.000373192383325,2.00430194657,0.0952646502349,1.1307812352,47.9988813506,1.95088159797,1.10040050995,3.8443299783,0.0583776529811,0.033255652728,0.0308651363136,0.657497442022,5.19318194504,3.92558374719,4.99561003873,12.3549848997,25.4392173306,20.8754911831,10.4778706401
Greenland,GRL,1995,0.000391611482647,1.97458123041,0.107682490717,1.08214363585,45.5878857533,1.83322017638,0.814592534377,3.54193389281,0.0574534278048,0.0331312741815,0.0300148305678,0.656035349612,4.93850420794,3.8376393173,4.90614145527,11.349672087,24.2124269617,19.8799907335,10.4499712961
Greenland,GRL,2000,0.000434127597723,1.98592367106,0.184885116236,1.76603958539,51.2080880866,1.854491759,0.780662685689,3.87386271552,0.0576966372608,0.03926014948,0.0301511812715,0.705518296713,5.21189326776,4.19556664077,5.53672980544,11.4278191942,25.6628555003,21.456363784,12.4285146445
Greenland,GRL,2005,0.000448326115919,2.14376462504,0.313430833439,2.64352104296,57.0757166528,1.87743224582,0.756187844259,3.57543082671,0.0638384289956,0.0572389658127,0.0319398801322,0.820899879537,5.40995815819,4.38473720268,6.07560901933,11.2934431924,27.0139775983,22.8699174695,14.512687153
Greenland,GRL,2006,0.00043814127638,2.10092693042,0.326561217476,2.72616056758,55.3096101075,1.77653905734,0.697561053417,3.23648309819,0.0624530998196,0.0587025069207,0.0319388738437,0.804330538375,5.05562394049,4.11967655026,5.78771526259,10.4810506905,25.5586603956,21.7436078153,14.0980670387
Greenland,GRL,2010,0.00049786863735,1.98311543148,0.403468666898,3.12082468022,53.0469044347,1.53476703708,0.540845050068,2.39060719085,0.0588017384298,0.0600049326317,0.0321514710994,0.712989604262,4.32998145746,3.52807985656,5.08149652529,8.66369458603,22.0524946637,19.275182374,13.4406393547
Greenland,GRL,2016,0.000707292559328,1.96558001764,0.542676694004,3.95018460595,56.9842082848,1.52710433405,0.425744513507,1.56588444062,0.0616911091365,0.0570588912249,0.0331535836209,0.672913974307,4.39264948576,3.47023778222,5.12143567119,8.55455450507,21.915053157,19.9695956913,14.697501821
