Entity,Code,Year,Iron deficiency (deaths),Low bone mineral density (deaths),Drug use (deaths),Alcohol use (deaths),Smoking (deaths),Secondhand smoke (deaths),Household air pollution (deaths),Outdoor air pollution (deaths),No access to handwashing facility (deaths),Poor sanitation (deaths),Unsafe water source (deaths),Unsafe sex (deaths),Low physical activity (deaths),Diet low in vegetables (deaths),Diet low in fruits (deaths),High cholesterol (deaths),High blood pressure (deaths),High blood sugar (deaths),High body-mass index (obesity) (deaths)
American Samoa,ASM,1990,0.000920618008227,0.401404940292,0.0711668387947,0.183244464045,10.5173821773,1.74016255402,3.61960129913,0.764667742317,0.199486633669,0.25489436683,0.454106528302,0.115264534727,2.46213153269,2.37879388012,2.04181626719,4.37254776581,19.6813553844,19.140535259,15.7916320663
American Samoa,ASM,1995,0.000836282841976,0.418897839373,0.0814589050881,0.133783975782,10.4689348209,1.86286028692,3.15547787707,0.767559482982,0.170496644035,0.204809350359,0.382076354807,0.162477334548,2.60244133858,2.41694558899,2.04035286332,4.67491208097,20.6677744493,21.1969988073,17.7768460954
American Samoa,ASM,2000,0.000837543540208,0.433449193795,0.0882493656273,0.0496909529431,10.0047987383,2.01788567081,2.75611631597,0.815758008063,0.147800620804,0.151183826034,0.298655770559,0.16618528305,2.83032469932,2.53399173605,2.03859155439,5.11990731166,21.3660056186,23.6950513439,19.4401928541
American Samoa,ASM,2005,0.000829243461443,0.506627099751,0.111364668495,0.0714064120413,9.91864644685,2.16708458944,2.46038604478,0.801702408,0.139034043132,0.146031108677,0.300468645112,0.186025699708,2.91479913834,2.54750346627,2.06341949875,5.31469049826,22.0033206494,26.6860100644,21.8461625017
American Samoa,ASM,2006,0.00083089134063,0.529519094414,0.113296345376,0.0977842442961,9.79766076384,2.17367392674,2.3823555689,0.540010636194,0.137378269101,0.146655430845,0.303699925349,0.193951815265,2.93915698613,2.58705187455,2.08027447411,5.41696726938,22.3621935141,26.9538486408,22.1839850229
American Samoa,ASM,2010,0.000871221571659,0.551164004034,0.124823185251,0.127767970963,9.58740729744,2.25633343094,2.11474279484,0.356961241,0.131478790663,0.149651269953,0.31418734607,0.227924537204,3.03767007747,2.69104800693,2.17019540514,5.68794888249,23.2862467565,28.2823521534,23.5843255835
American Samoa,ASM,2016,0.000965581166153,0.599078687018,0.154043134811,0.115862473196,10.422241656,2.62699623968,1.77677842068,0.59681553874,0.13294624439,0.160437773118,0.332401939122,0.302870272563,3.42514338512,3.0741172515,2.57967663512,6.50478560496,26.3010647627,32.6181629485,27.7936338903
Andean Latin America,,1990,0.136883393295,474.835943829,69.0518529471,2704.14136512,4173.62291093,911.893701153,5791.60818723,4311.80731429,779.823948622,436.463687776,522.405798627,569.739255933,2005.23478236,2574.560467,1715.20954391,4802.21881118,10400.0018752,6061.56095446,4081.92432978
Andean Latin America,,1995,0.158618275302,579.61232664,94.0335129893,2952.36416838,5260.81454646,1045.61802354,5619.78468066,5375.60499387,819.386396997,430.413560405,487.57539519,700.520452197,2401.65627859,3039.5138463,2020.39475678,5762.50484933,12734.3448891,7836.24315203,5376.47807694
Andean Latin America,,2000,0.199513177895,699.653954543,132.926436706,3115.65277215,5437.71445153,1101.23527024,5069.27709602,5975.97261589,813.023899636,328.103293559,399.251649669,769.409141338,2458.19880157,3067.29521312,1958.02273537,5798.88353923,13805.5544371,8980.33632787,6538.85807123
Andean Latin America,,2005,0.264156384147,827.491627995,188.468823236,3434.62046411,6236.54457983,1143.9594102,5569.55305348,7472.19356177,860.457084179,275.307757792,338.791054928,854.668724086,2654.97755972,3300.56955078,2255.82084357,6292.11669564,16005.5851611,10553.9166029,8109.22164905
Andean Latin America,,2006,0.273087066864,861.918156388,200.432698817,3458.03087305,6368.52296989,1124.82187731,5570.77701954,7352.89734267,867.340987646,269.934492323,329.414134994,858.771870392,2677.75770087,3317.19095635,2276.07574904,6354.74578764,16413.9639762,10848.9628152,8423.80601381
Andean Latin America,,2010,0.367334831288,1070.41931734,278.564186921,3781.01992597,7271.3652407,1130.88984678,5627.86492788,7389.99155631,938.472098916,260.697738225,300.689422167,960.026639772,3032.21803296,3655.07267707,2527.93201068,7174.65324865,19559.823108,13103.9098704,10651.9581729
Andean Latin America,,2016,0.572380113054,1376.95464067,402.126031791,4145.3462967,8187.02052562,1315.14198223,4915.99256713,8041.02266814,967.073602399,238.142947646,258.108194616,1074.46952704,3645.04164394,4257.33192614,2785.60229972,8689.40254229,24147.2046281,16633.2756062,13978.5044607
Andorra,AND,1990,0.00112529727768,2.99117334593,0.407943709986,29.4991924168,31.6927395847,3.54528357557,1.35442055508,11.8984476283,0.142292967105,0.0212032103996,0.0261931418995,0.766387257558,11.0574637084,6.04829986622,5.44893553027,29.509687223,64.0479046408,22.6387932414,19.0841833546
Andorra,AND,1995,0.00162390006508,3.81347701418,0.653147616951,37.8434857484,37.8460078848,3.90416896287,0.995356592775,13.9219917544,0.185317936594,0.0239322769679,0.0317874614844,0.95262223859,12.9325981681,7.15892075396,6.73969560542,33.9915341938,74.1897409,27.1792977431,25.4394743437
Andorra,AND,2000,0.00201794103901,3.74967392471,0.84228140264,33.9565848413,37.3157638288,3.00467171347,0.643658717783,12.2169610614,0.170482081432,0.0211093687203,0.0335946000814,0.852557438688,10.9786229593,5.80958173647,5.77009762578,27.7524166348,62.8977613356,24.8076389229,26.1635917077
Andorra,AND,2005,0.00285121618157,5.04338797919,1.19365180436,35.9216877388,47.0315449893,3.31160518249,0.64010187292,14.7432215247,0.209209792547,0.0252002564587,0.0493493335524,0.899910104285,12.9396110571,6.25892729239,6.19927333297,31.5106840691,71.9857712481,30.2681031702,31.7489467905
Andorra,AND,2006,0.003019056752,5.31434948162,1.26610002101,35.9257260406,49.0125654538,3.42693739182,0.631329711078,15.2728791268,0.217555484323,0.0260644418032,0.0528501691593,0.928667489017,13.3559220786,6.36000400306,6.23847161412,32.4382637809,74.0829390821,31.5784009322,33.1316989309
Andorra,AND,2010,0.00366998311457,6.47166061263,1.59262511103,35.5457318379,57.0047424058,3.74846848036,0.595432212115,17.4309685152,0.239289854359,0.0291816088935,0.0665902500492,1.07351171933,15.4757653406,7.62941556748,7.47930657465,37.3364497008,85.5242739299,37.0971350929,38.3581570045
Andorra,AND,2016,0.00449391682872,7.61559673207,1.91255310013,36.3271688855,67.1737887876,3.99970245082,0.520000065737,19.5028442704,0.273381132148,0.0307291148371,0.0790747047154,1.16824928078,17.6923528832,9.51031380291,9.58330660593,42.8674501553,98.2553693164,42.1266826575,43.3179794516
Angola,AGO,1990,0.259496527844,156.656096221,3.89301752079,114.360400466,640.881484008,159.800890823,2159.20342436,1099.59237337,1128.40691006,1383.28191997,1684.25153018,124.521112195,388.746660411,633.61717733,749.931822294,787.158364057,3243.20690126,1109.34740211,753.442728504
Angola,AGO,1995,0.28593349522,193.437806844,4.84288117761,139.26893484,740.517454585,192.609385121,2525.05473299,1296.46806846,1253.36560606,1517.79717764,1857.04484043,169.908166249,472.163945314,766.032127581,912.252176498,966.91712372,3911.46730963,1355.4035763,953.990780139
Angola,AGO,2000,0.329442488654,220.872648536,5.73690969336,291.945835599,807.986014419,204.65685154,2654.63056239,1480.94885918,1357.02947803,1578.96142407,1988.42837212,223.658884141,526.937922418,834.498782757,979.970477265,1044.6881406,4343.76179867,1536.78871453,1212.1293978
