Entity,Code,Year,Iron deficiency (deaths),Low bone mineral density (deaths),Drug use (deaths),Alcohol use (deaths),No access to handwashing facility (deaths),Unsafe water source (deaths),Poor sanitation (deaths),Smoking (deaths),Secondhand smoke (deaths),Low physical activity (deaths),Diet low in fruits (deaths),Diet low in vegetables (deaths),Unsafe sex (deaths),High body-mass index (obesity) (deaths),Household air pollution (deaths),Outdoor air pollution (deaths),High total cholesterol (deaths),High blood pressure (deaths),High blood sugar (deaths)
Afghanistan,AFG,1990,253.726720461,67.3355775458,200.540364853,76.1553049544,112.729204911,109.952823937,96.3551320201,2053.6850696,294.739467515,428.318001555,1877.11188233,1558.58604903,168.830476683,2910.13562384,3016.89679652,2006.49846017,2621.09181242,3151.65784963,2113.77629222
Afghanistan,AFG,1995,354.800405704,101.396423815,305.543374288,107.805532939,164.312643029,163.441412568,143.129698943,3094.63054059,491.258661662,628.155180444,2852.72538022,2379.57853193,245.918029912,3972.84321248,4454.84158398,2906.0850759,3903.95558684,4738.20590108,3094.58350349
Afghanistan,AFG,2000,388.137040415,115.711852896,378.403300167,127.540997084,192.557275642,184.883233108,161.687408636,3757.90301376,616.0676443,735.365845744,3498.22099276,2841.10922235,284.857277498,4395.02901352,5280.8068676,3467.58194499,4580.09035146,5726.30761967,3795.63065368
Afghanistan,AFG,2005,471.643837899,142.015626755,516.843178778,184.866584985,223.724213265,200.105276994,173.861012405,4537.789004,726.575756651,881.0680406,4194.67175432,3345.088291,337.02086435,5634.6719443,6014.1703532,3803.11085403,5434.0623816,6815.35092614,4643.86747626
Afghanistan,AFG,2006,477.769404315,143.801477485,535.98736442,200.53118505,224.626366496,198.582208837,172.18604139,4653.88086312,739.316803535,901.241772465,4283.45946046,3410.78620785,345.361983806,5925.9032387,6085.2742154,3905.80450562,5566.67942878,6955.77514828,4744.14461178
Afghanistan,AFG,2010,478.591590688,155.166301779,599.088120145,295.487246073,214.701117018,177.019522026,151.770000999,4953.97542297,839.732591868,959.127043041,4435.11580528,3540.56673109,367.522276463,6893.03660468,6077.94494379,4168.77473179,5878.34357697,7190.29569223,5044.89070301
Afghanistan,AFG,2016,432.765427234,187.919080051,775.662819322,465.15396999,226.562474852,161.920258223,135.718767049,5888.61194124,1029.76690925,1151.53133532,5128.11918042,4123.91570719,452.3072002,8501.94483278,6710.99811855,5402.92874361,6999.66538408,8465.83941261,6391.02518744
Albania,ALB,1990,1.37571687859,3.29103864701,19.3726492787,106.157578257,1.70867640164,1.29211451612,0.950156404371,195.664902711,28.3941363364,14.556126238,107.122252883,51.6614416972,18.506553018,123.223386454,127.173728949,74.4924019378,142.561732516,237.576861108,36.163200718
Albania,ALB,1995,0.622377714739,3.14854910851,23.904899733,134.514600499,1.44468526137,1.14858031107,0.87518560468,207.313356471,29.3245936143,15.5497423728,110.382301503,39.7784273025,19.5546313751,133.560731763,125.437962866,70.8824580489,151.399666702,244.631786393,37.932816491
Albania,ALB,2000,0.440457037602,3.54679750297,33.5590801488,181.053016532,1.03257248191,0.825794128077,0.585547142227,288.469208569,34.0343258795,21.8878806515,136.464176655,37.9322193097,22.801213463,188.668906623,148.758213566,91.4898626124,214.093769794,332.375082194,50.113976093
Albania,ALB,2005,0.40830607113,3.41248985457,36.4178466614,188.583545101,0.69948320106,0.63156494403,0.379972469063,322.954361836,37.5000122355,26.9440283528,138.956702588,40.9539984113,24.1339654175,237.138823934,142.356388148,96.6418920161,263.592342671,395.507072241,55.9040774402
Albania,ALB,2006,0.379949527032,3.32449002196,35.7880698199,187.623979721,0.647006215609,0.595179774593,0.354804682452,316.244854152,36.7263276988,26.929606738,133.801773344,39.0842858047,24.0854092665,238.537309914,131.039393892,98.205369123,263.624461532,392.817441123,54.4696932913
Albania,ALB,2010,0.247150810592,2.99055981467,32.2710825314,171.444601043,0.493271336634,0.479733849578,0.278348819568,269.06293695,29.8095605428,24.1362834257,100.261035293,17.3188439513,20.7110467738,220.842873596,86.100231386,94.9180121996,233.852365147,346.584300929,46.3030950525
Albania,ALB,2016,0.211854678654,2.39054049264,29.8082122511,147.199525211,0.372521664983,0.377084253888,0.194631571492,215.044222168,23.8231246813,19.0842037855,72.9161171619,12.2943291876,17.0952154328,182.569932411,55.9012692055,72.9403842699,181.334802184,272.050622326,38.3726227373
Algeria,DZA,1990,106.448754138,61.1190358922,213.535873196,337.304018058,27.9861989723,53.6424059769,35.409937385,1406.60875396,422.608768815,291.609999045,1170.2037165,841.269872357,130.146756766,1655.05060532,365.130447022,1100.24662424,1820.87661572,1965.05345747,1132.88064377
Algeria,DZA,1995,89.9776746305,74.9082738096,267.029219871,340.160892394,26.7973235833,40.0541787676,23.6341612346,1525.46624771,414.496092451,323.339612448,1261.35654846,873.026495328,148.148935045,1905.57943036,251.787621384,1182.9801331,1970.64465404,2150.43278924,1230.47953225
Algeria,DZA,2000,80.9687577819,93.9955553172,335.841432132,418.969205545,32.8426671233,34.1319676759,18.2620629496,1557.67419482,425.089655194,360.288486296,1321.13221872,886.588484306,162.771036634,2247.73493955,159.179780106,1276.29396476,2123.48757627,2355.60919743,1371.65932925
Algeria,DZA,2005,77.5914030738,101.385582354,390.426985921,500.769376442,32.4128815932,30.5337345914,13.745043609,1460.47917992,381.309595147,345.503365735,1151.54361223,696.966771075,203.378680321,2458.39777965,64.7553744489,1144.95512424,1898.77028069,2093.65749429,1396.57257858
Algeria,DZA,2006,74.29246903,101.875465708,397.598610786,505.600770062,31.5098797837,30.0262889449,12.9447817908,1423.90116995,381.746856936,343.036995484,1114.93766142,656.669879899,207.638823372,2500.21722719,54.8160470339,1123.91665497,1870.41294494,2057.54439361,1409.40447611
Algeria,DZA,2010,59.4469651537,103.2045648,429.749548999,503.644576624,28.336987638,28.4935583084,10.422284042,1362.39068445,390.12550483,346.881202825,1020.81736946,536.913720647,194.330244805,2718.36970343,28.3042756943,1076.54190395,1847.4042325,2063.01573365,1511.41206098
Algeria,DZA,2016,44.9899425772,112.878653841,488.15979421,525.50948571,25.0863560136,25.3564997254,7.99627770145,1502.68344598,425.394768061,386.726295823,1032.07588024,517.743881428,178.988972184,3136.88585471,12.9902627889,1315.86327149,2092.60426958,2329.42341511,1707.67111245
American Samoa,ASM,1990,0.0616218896187,0.0671947341728,0.563609557365,2.29477940053,0.0888234924463,0.125853388939,0.0709717892046,7.59324204851,0.481453936699,0.839351524588,2.43316006796,2.50140630473,0.300091261347,11.783999878,2.37045067986,0.548764989167,4.61840318597,8.79180844072,7.73527479324
American Samoa,ASM,1995,0.0778011179718,0.0768886161025,0.639734538402,2.49194735096,0.0827169060309,0.113144654383,0.0609427007348,8.51129958881,0.603239311344,0.956409772758,2.68787118105,2.74068554626,0.622831165794,14.1862070832,2.27981612463,0.614288486676,5.16105431173,10.0901449296,9.27967761006
American Samoa,ASM,2000,0.0862793344704,0.0806366530547,0.667922498964,2.54429632659,0.0777238245555,0.0935110451929,0.0476285518081,8.86838738862,0.690191997383,1.04334221775,2.71742751787,2.78905740654,0.892551742924,15.8009101533,2.07623409012,0.662128705752,5.46634525513,10.6062985489,10.8611260344
American Samoa,ASM,2005,0.093620434963,0.10232814571,0.772775268778,2.95092765781,0.0783318780535,0.0993553811437,0.0486743410048,10.1714328774,0.792689884645,1.20338976586,2.8895835726,2.95226261328,1.13511937473,18.6864531406,2.01943745912,0.69409666365,6.17803630548,11.9084888063,13.3449561813
American Samoa,ASM,2006,0.0938496488817,0.110972006348,0.779926797775,3.02847651499,0.0774716974756,0.101093823481,0.0491681136348,10.2584522304,0.808711456068,1.21579548608,2.93161374328,2.98673166077,1.19844795565,18.9843785853,1.9745483992,0.468336055777,6.27604985,12.1218735418,13.5588554613
American Samoa,ASM,2010,0.0904326599239,0.111535482878,0.831869940286,3.27502513442,0.0761914962551,0.108453132499,0.0519388642259,11.0926064511,0.91567011856,1.36826579945,3.22925477145,3.30247542812,1.53517747132,21.0672294834,1.88062891538,0.33636838901,7.10888001606,13.397837942,15.201953234
American Samoa,ASM,2016,0.0996171151697,0.140762650575,1.00004536082,3.92132294536,0.0827671852798,0.124495331443,0.0606116366808,13.7560768011,1.23122971339,1.72639714374,4.18446344091,4.14984656782,2.43964476599,26.9989857784,1.76352641073,0.625924211209,8.99760736676,16.7762049482,19.5825603817
Andean Latin America,,1990,210.315848839,85.0228910986,392.765939179,6702.96161073,290.63460216,294.793338577,245.913655378,1860.23060852,277.26089861,237.350202593,1152.19677063,1205.62449274,1233.54162815,2827.60113906,1877.69594888,1426.9291991,1648.95844166,1410.32214864,1243.60000435
Andean Latin America,,1995,228.672916582,91.7386456617,498.273781702,6843.40640596,261.26862419,247.263919359,218.099851221,2014.12838617,293.642810817,261.056359508,1208.6372247,1299.32074044,1723.97060059,3319.83621474,1632.11227085,1590.64926882,1798.09906165,1540.52317251,1440.23955897
Andean Latin America,,2000,159.500770866,96.9601456032,593.256122065,5973.57019682,213.432552979,179.842376101,146.866959659,1709.9491558,263.969988491,245.720613777,1023.76030724,1151.74182646,2227.98517999,3301.48515924,1228.34979088,1499.81790448,1642.90940909,1521.75470924,1453.4088849
Andean Latin America,,2005,119.713368359,97.7838256872,660.022814115,5433.52685294,180.763737219,131.920750002,106.572508728,1603.24427997,250.884454459,244.017462423,1071.10513072,1130.62600011,2574.66853906,3366.54578885,1139.57164402,1610.83540826,1628.54227818,1662.47955418,1461.9654442
Andean Latin America,,2006,112.852081301,100.365675613,667.747300653,5374.62986799,176.74727513,125.198127996,102.175946424,1575.97996005,243.200523026,243.405694066,1073.84762509,1124.32506214,2519.31071909,3374.02103296,1120.83062639,1562.27675882,1626.61803931,1703.26169415,1467.02621331
Andean Latin America,,2010,101.047428267,117.536579451,739.35956824,5372.79868128,165.421863015,101.670475909,88.1535777445,1599.82509023,235.003894676,260.351801984,1134.26251957,1168.69444089,2102.49701745,3689.69170392,1040.0354055,1459.2638282,1714.80215984,1983.6938589,1606.85179897
Andean Latin America,,2016,85.5670518571,126.179999898,743.227310842,4922.35431521,132.534441525,72.220530144,66.0873513285,1369.31286723,210.383203098,248.654540955,964.333852931,1054.31428147,2145.51415643,3627.83858092,693.370365748,1246.87343364,1585.14325711,2033.25796704,1618.99959105
Andorra,AND,1990,0.00163986983124,0.0494038329622,1.14919676067,5.17112279186,0.00369171985385,0.000636727053186,0.000514714220627,3.03999243366,0.144251954617,0.280596140637,0.575765647684,0.415161269592,1.61440111474,1.38667186893,0.0717741657282,0.661073270378,1.93647269387,2.13263954387,0.595471696475
Andorra,AND,1995,0.00189582648785,0.0578418974336,1.50652540746,6.03458733516,0.00429212295186,0.000684965093753,0.00051720528206,3.36774162497,0.160408954069,0.31312385117,0.657783070422,0.464727989629,2.51303381571,1.68182964418,0.0482802641416,0.724060917647,2.0945299682,2.34511327453,0.679252868282
Andorra,AND,2000,0.00174673130893,0.0527519884631,1.64768555111,5.52915711171,0.00386384761925,0.000646769688211,0.000410353337813,2.84226354003,0.129439612611,0.257936420626,0.533096034795,0.36138867785,1.6145360318,1.66693486382,0.0288209408303,0.593885811992,1.67151786148,1.90201122831,0.5832954684
Andorra,AND,2005,0.00193442227961,0.0567377304542,1.97245550694,5.63261631765,0.00416843043024,0.000816810786701,0.000421046651979,3.01017330906,0.139688866874,0.275785148215,0.528838448118,0.353521746361,1.02590525114,1.85636103911,0.0255379187952,0.639128206661,1.7546240135,1.96649628507,0.645566830777
Andorra,AND,2006,0.00196140298133,0.0575644443643,2.02252731566,5.5933561841,0.00422251996646,0.000851847908744,0.000424010255313,3.02635801436,0.142059106708,0.277969831877,0.524244185335,0.348389852753,1.01502034683,1.88727138527,0.0244880635843,0.644197659142,1.76501743957,1.97186808307,0.656393027543
Andorra,AND,2010,0.00210414869789,0.0601507504478,2.1875927036,5.43635370483,0.00419586814046,0.000964487111143,0.000428428406497,3.08248425633,0.149430109208,0.292702681577,0.562099476213,0.380136211454,1.0040805529,1.97616226969,0.0211205141925,0.666223073679,1.83116324707,2.06425811602,0.696672903756
Andorra,AND,2016,0.00213491862216,0.0612344493967,2.29610626224,5.29580974709,0.00424467985491,0.00100343417816,0.000395483531551,3.18921521446,0.155579141917,0.311179903357,0.638847732697,0.444239837342,0.933566200205,2.05109838868,0.0169883921867,0.690966236048,1.94781087424,2.2324353716,0.731097482973
Angola,AGO,1990,101.842487594,24.9597189581,84.0491800956,1194.35844374,1092.59600233,1679.26900305,1381.69883426,747.731210009,111.092949353,61.0935076878,517.771856891,378.038643051,957.976480768,544.030458895,1173.22630949,619.223606245,376.658641844,1077.56917848,601.243900152
Angola,AGO,1995,123.038588646,32.9707778272,117.991035147,1453.87280329,1220.22691282,1868.25915412,1529.60056072,841.451490648,134.382048679,74.4436589416,620.544185014,452.156886847,2250.66467053,685.20120034,1364.03503738,722.936205529,462.630255115,1283.35887235,687.46723346
Angola,AGO,2000,137.413362801,34.5192973897,149.025868757,1997.38676968,1298.40280358,1973.4577601,1569.47250491,853.861503326,138.131239629,84.0577685432,655.720152211,483.832433191,4281.1530929,869.696611999,1418.89029709,811.474470573,517.746341168,1394.4141096,722.616207511
Angola,AGO,2005,134.848921679,38.0462198225,199.594071319,2918.1127125,1371.08289031,2050.84286981,1607.66994163,913.789080208,147.577628646,94.9160701621,675.163219995,503.897606682,6932.40110568,1124.55734502,1373.47836189,852.976936348,558.690915013,1518.42014413,785.866474202
Angola,AGO,2006,134.090866781,38.9510836371,209.292526612,3080.39015735,1380.63484292,2063.85729504,1619.04477909,933.759824762,148.338213897,96.006166674,666.365302934,498.793443867,7363.08961787,1174.02557325,1338.94892748,849.194427323,562.630494703,1531.98820936,794.166708111
Angola,AGO,2010,127.286603762,41.1612075918,231.540230332,3606.24969398,1236.79252094,1800.21189755,1456.78066903,1022.65283806,145.465421508,96.8227001166,592.867591546,449.5776018,8089.73230059,1296.88899939,1221.82209656,801.388449142,554.883272992,1519.79124868,824.544739668
Angola,AGO,2016,106.360305876,46.4463069938,252.448984313,3872.32058941,1133.32698151,1614.82348341,1285.95293721,1238.36215562,148.479764063,106.84330463,566.867527152,443.674475589,7969.982098,1548.64794865,999.118441583,898.657567052,605.610035707,1625.51454998,895.456616932
Antigua and Barbuda,ATG,1990,0.0218719116598,0.0541519504085,0.921240512234,2.57477818678,0.169168633905,0.130858715529,0.100293804396,1.33534701135,0.596492849203,0.50264903484,2.02002794158,1.86639752012,2.06043574329,5.81400423459,0.331062438937,1.66366483774,3.06597045728,4.82307135409,3.37063544189
Antigua and Barbuda,ATG,1995,0.023293389512,0.0589877562282,0.993434281052,2.90441275289,0.162969324719,0.12916195656,0.0882372967891,1.36903329311,0.647631905838,0.526027988963,2.09154013144,1.88343423636,5.37672200273,6.50917724131,0.25622130879,1.71559438206,3.12658330901,5.05544258723,3.83069469276
Antigua and Barbuda,ATG,2000,0.0241850060076,0.0790390192912,1.18166039231,3.65570373717,0.152996673906,0.104280553596,0.0595835268648,1.39877052409,0.632404336244,0.507211658543,1.95170095883,1.63849455608,12.4759610593,6.72799886436,0.190146769066,1.59938787675,2.81325798466,5.09488842314,4.53422466518
Antigua and Barbuda,ATG,2005,0.0261509236724,0.102704265553,1.39811375634,4.91241191143,0.156912345868,0.0809914774654,0.0418986686891,1.65168188221,0.706138748793,0.565520978534,2.1140211421,1.77457750335,6.97175124731,7.73990350029,0.17600031249,1.73516351565,3.04095487385,5.80769254521,5.22564012616
Antigua and Barbuda,ATG,2006,0.0253654329797,0.104214299643,1.39585700977,4.95494964739,0.152877647417,0.0797137273747,0.0407665898786,1.61843207072,0.71880801701,0.568142886924,2.06258625971,1.7528545203,8.1910051502,7.86242763351,0.166913910903,1.68756451506,3.04287984095,5.84395292156,5.33319641444
Antigua and Barbuda,ATG,2010,0.0245388471507,0.116645606949,1.45671912003,5.42462391775,0.148863285118,0.0774197831599,0.0388881169423,1.60106662344,0.725105335142,0.602306127453,2.02245335276,1.77361123023,6.15983535139,8.56076990901,0.139574204272,1.60365204898,3.17054605129,6.30395648176,5.71401001502
Antigua and Barbuda,ATG,2016,0.0234125370214,0.120298544723,1.55315246435,5.59256795478,0.144701412072,0.0757954496703,0.037481469652,1.62799621262,0.711234927508,0.618305256752,2.01148752574,1.77921206023,5.43821774622,9.01496693016,0.0990918888358,1.78212876922,3.19143000679,6.61475800993,5.90986256447
Argentina,ARG,1990,27.4028574771,53.4144150508,632.539163545,4995.99954271,37.6720802137,36.9154227574,27.1621191739,4856.06429312,265.817914499,280.073828015,1723.58314335,1262.08069409,1008.54328546,3383.40838799,432.583360143,1264.53726293,2577.10507086,2918.92231355,1182.10148766
Argentina,ARG,1995,22.0553291778,58.3483344444,848.505096077,4877.7690387,29.7064186904,30.7994378239,20.8282921977,4610.19186567,271.414862429,253.774558296,1423.4297256,1128.10852086,1895.55326132,3341.95415354,285.710753761,1206.31839247,2313.91428656,3060.65717334,1118.41738372
Argentina,ARG,2000,17.4036599835,63.8425991745,952.881481032,4152.6165809,24.0966466352,23.8552216873,14.3924504629,4197.83076795,264.358508579,218.833456508,1037.84890759,952.327218252,1946.20521941,3129.44249708,196.404649623,1094.85890458,1972.81690276,3034.14884,1083.09102551
Argentina,ARG,2005,16.5525304144,63.8524940614,893.583375567,3642.80868359,23.2465908547,18.4619079014,9.17164664703,3594.65570799,241.605683069,187.24279165,854.868528334,815.571841058,1807.46506579,2760.56478707,138.887633637,939.398874297,1670.1416168,2657.88010697,983.725114437
Argentina,ARG,2006,17.1135462823,64.8378430785,908.358348649,3662.63531954,23.4998953329,17.8900818751,8.48310402211,3497.09246033,243.694365456,184.762402112,821.362141527,800.325356062,1843.44497033,2738.6700897,130.207444485,925.968604408,1651.10856303,2621.07343578,980.1631666
Argentina,ARG,2010,17.8795579192,66.5764435611,913.135821489,3805.01632946,24.2461874089,16.224577228,6.46813728355,3217.80064593,254.698965869,182.352283512,717.382383487,758.061762354,1801.56512128,2720.30030449,98.9002423551,894.794625287,1611.07868981,2534.56211292,988.18618285
Argentina,ARG,2016,19.9332071817,66.4689924171,1015.62278121,3989.49201416,22.6978337687,14.839679977,4.90623713725,2995.00001278,250.194435089,178.989704517,636.975146519,702.530369422,1770.97021121,2770.04785166,66.0126925875,868.468174276,1560.96170386,2483.74847633,1005.02117526
Armenia,ARM,1990,15.2079843649,5.31555935276,43.4920455923,215.845072776,3.55026420171,6.49741105252,6.02670768157,481.200269421,35.2483195432,36.3584771138,171.202829977,83.6648023325,46.4869792259,225.741389237,179.804084962,146.610903314,309.137317576,412.847621313,100.37166017
Armenia,ARM,1995,13.6927331142,5.9585258723,54.9554681064,224.828327374,3.92156612827,7.41672727022,6.66995331144,651.808656454,42.9850269242,50.1634196708,236.488251253,119.60438285,53.5427677859,309.014593056,205.385354197,179.137940124,431.30101808,560.983398999,145.901460954
Armenia,ARM,2000,9.91674399699,5.82040664205,48.0585235907,170.371003296,2.47037997372,3.86380759199,3.40923626132,575.685292624,41.4413674839,43.7196409235,207.927356846,89.0229982681,56.771749358,284.69573822,118.752762833,157.228158095,371.901766781,482.061480741,143.573173903
Armenia,ARM,2005,2.75053414279,5.38755837838,60.2571223042,177.976733427,1.85991118256,1.56514435118,1.37415135468,595.32929691,40.1239797852,44.4733404842,202.590217654,38.9611549006,57.7837168062,319.722893444,107.607186996,168.949732324,383.45891892,493.771843247,163.251413459
Armenia,ARM,2006,1.90733030022,5.30172034917,66.5978352397,186.975663515,1.81456312889,1.29814640531,1.14322285051,602.02080557,40.3067567888,44.944404785,202.196618487,30.7535434685,61.7506623411,328.951667295,104.590706552,173.690673695,389.042998787,498.504904969,167.630099648
Armenia,ARM,2010,1.1183552238,4.3550281061,66.9559661397,184.813687341,1.50412294771,0.851302422041,0.76537614136,501.868111522,33.9155626555,38.7197934684,154.763690325,7.20597582485,56.8939368584,288.591685183,64.9158242181,156.223847716,333.136905863,420.113204226,151.075133775
Armenia,ARM,2016,0.982200818055,2.94899390522,57.6087545276,166.345313214,1.03495215118,0.530657726539,0.486172687089,320.955504089,23.4856530993,27.1732974027,101.010294766,8.60625957307,44.3755033506,207.377047,35.7437745295,110.170096181,233.707497064,288.016140951,101.92253696
Australasia,,1990,1.17006030319,31.817378987,819.001692576,2585.08178768,1.5627981032,0.411548055679,0.279792053674,1353.74594102,90.0766642151,151.251844312,421.579914517,347.889460106,444.822286969,903.280505282,14.1525575679,211.101619293,1041.26312079,1056.95204724,272.203357333
Australasia,,1995,1.28586909058,29.9332152789,1118.10138017,2300.33978722,1.54994076048,0.539584552893,0.320451609438,1260.81417717,88.8212618521,142.293721582,403.947035551,318.898542384,522.50111709,969.563857966,5.58605040274,198.609528133,957.967074909,989.167971845,291.612012322
Australasia,,2000,1.26951012893,29.204814069,1282.7354354,2104.54093876,1.4123297776,0.5196073962,0.25370386409,1183.33806283,89.2487476433,135.299845534,393.674592929,300.213295393,225.094841453,1003.97287187,4.96422828726,189.950957621,892.624176762,930.264062809,308.162911143
Australasia,,2005,1.10068262935,29.166189592,1026.16628612,1998.53777929,1.36929382786,0.725646383437,0.26006461543,1104.47354848,84.6628840018,127.888773061,362.781097034,269.584193381,166.489449839,983.6853973,4.95434313771,169.197565433,809.763641729,838.951302985,318.705668428
Australasia,,2006,1.1549261517,29.1207379758,1015.55301517,1989.51613475,1.38852668751,0.814145023,0.279612530219,1085.89015054,82.794333455,124.67747842,355.635093837,262.813889464,177.689897468,977.928604561,4.73246549651,160.001595174,784.847441406,815.346898741,318.815395036
Australasia,,2010,1.24057369814,27.5603238829,1100.13687154,2002.42332398,1.43144905246,1.07235216957,0.298527386161,1006.31349738,76.3174544864,116.123599583,330.997388382,240.801078535,147.169532903,950.529760247,3.55310891117,129.248480984,707.075503866,740.223819537,313.788831479
Australasia,,2016,1.1736971374,25.7128662816,1229.89374385,1992.84478556,1.45719579928,1.28469958879,0.27936866333,873.009141898,75.1134087025,108.420662007,305.643338442,225.334038052,131.832066969,898.476781512,2.47806277952,124.366435778,647.664710299,689.021842503,299.869739363
Australia,AUS,1990,1.0467998748,25.3913627411,751.070530567,2113.92843176,1.29212518611,0.344507935976,0.232204362535,1089.46157843,72.6703291611,122.465795544,343.602092562,286.572302129,370.774877678,713.263616276,11.4182501841,171.383739225,823.028576897,847.236729441,216.305743843
Australia,AUS,1995,1.16243665829,23.6021772646,1034.6111921,1876.6301103,1.34690262999,0.486882216661,0.287695814964,1015.58729851,71.7647068037,114.485608994,328.525651947,262.078717017,451.575145205,773.913625463,4.40318586451,160.774016857,753.992088078,787.495153963,231.003677227
Australia,AUS,2000,1.165472126,23.1143491005,1196.08829666,1747.92976713,1.28230984319,0.465298932882,0.225063270361,951.878766976,73.017846672,109.774338331,321.531213976,243.679655869,189.126074369,809.17842628,3.88346343088,156.006736628,713.988900637,744.103861523,243.84048928
Australia,AUS,2005,0.993065763222,23.0532945468,932.240869666,1644.12250766,1.24829645523,0.650033111432,0.229201935506,875.316524268,68.5882879943,103.360175401,294.198752519,214.612025614,137.921629698,788.050903011,3.77871923713,138.619791471,648.58962008,663.916163443,251.594323245
Australia,AUS,2006,1.03866872378,23.1125731295,921.971507345,1638.65126086,1.26458048958,0.723770235973,0.243751668313,863.856052426,66.9139844259,100.876145601,288.792702503,209.110397225,147.337810478,785.131194994,3.60254979069,131.505010433,629.451521253,644.558199723,251.679199541
Australia,AUS,2010,1.12180030147,22.012012524,1007.38373103,1660.46143079,1.29672614551,0.921968149008,0.249356267524,807.24451953,61.9805355636,94.4316412188,270.561564186,191.811782964,120.052924124,769.435626041,2.70185570587,107.548098505,570.591004563,585.368786556,250.491926549
Australia,AUS,2016,1.0596589741,20.9779999159,1137.94431085,1675.84782783,1.33346460468,1.13568043829,0.241017348179,710.545605762,62.8751752854,89.4715197237,254.677944018,182.502649361,111.402828338,738.767998472,1.91552040621,105.150731167,529.978396193,553.37864308,245.098443922
Austria,AUT,1990,0.374091156978,17.7022147432,252.836837144,1331.78329145,0.486491676281,0.0747209278899,0.0571800121467,757.433910153,29.8262973994,60.5645557547,159.250655024,173.518000897,106.868202105,345.817182909,16.8921375716,194.597574294,467.096219267,546.308457914,93.5263588017
Austria,AUT,1995,0.263247688507,13.9772439895,321.75170582,1201.64446815,0.380555695781,0.0612795889954,0.0501367378254,718.937616048,25.6332497419,58.1567713858,147.974551472,159.9739425,157.457620566,346.825531558,11.4273626059,173.392667544,443.227612634,507.964099128,93.1226891428
Austria,AUT,2000,0.247666200874,12.2528148362,302.94606405,1006.10229865,0.293472288985,0.0598448797552,0.0546750259089,644.927529802,22.422867522,50.5356076671,135.84514909,128.212538191,71.7946242518,310.14136185,8.19939156989,145.011131677,374.143325744,425.68549957,91.5441569372
Austria,AUT,2005,0.249302558182,12.1082916047,319.116159813,868.845340447,0.254363958222,0.105155922295,0.0962537922436,536.864391116,18.1585661998,37.891891022,107.430500805,88.260504861,76.6396269352,241.797858592,5.31226960297,108.713253712,263.711575359,308.698320218,94.3772452758
Austria,AUT,2006,0.239657865197,11.8408541878,315.77096981,838.463148504,0.25004070965,0.120700325082,0.109905420137,520.111048589,17.6957242468,36.5630764396,104.034886337,84.5136747447,62.027075589,235.705957813,4.91868617013,105.113249243,254.412789914,298.086729236,92.4950686574
Austria,AUT,2010,0.231392944827,10.8505921373,307.500466632,739.703498199,0.229513214055,0.146156626567,0.130989597911,473.998240192,16.5507948877,34.1814199392,93.0544489003,76.7802151931,58.9819516238,223.256146593,3.73487917431,96.6696521231,235.226822288,276.218406899,86.4100759738
Austria,AUT,2016,0.222544488926,8.43423410434,269.453417417,610.543800656,0.190665639512,0.130970172812,0.114093925955,362.674490542,13.3009142714,26.8605537058,71.0568824273,58.6967860806,48.0056990722,187.351565639,2.2113145602,74.3867245321,179.519899967,217.482095064,71.1697744409
Azerbaijan,AZE,1990,9.07919988717,9.16558585224,146.632593184,957.387296308,14.030632644,11.2860571693,12.473330571,1035.84095242,115.672115806,91.5264787804,409.667473557,380.403114109,52.2799221041,659.372193795,442.839336277,453.263178024,820.473601856,952.483461762,268.038262203
Azerbaijan,AZE,1995,9.6694288072,12.5863828688,228.750367717,1474.06712945,17.9779930411,13.2145490428,14.7176032148,1544.20000008,165.165042795,135.769586053,622.571674991,543.565298739,77.1594737542,977.37650665,589.462529799,623.274884336,1237.38885111,1419.43584215,413.229407099
Azerbaijan,AZE,2000,7.68598442253,8.7992221818,253.395797775,1377.38303459,15.4938630977,13.5388638828,14.6610401141,1531.68456447,163.391599649,137.073464375,647.827512865,425.146546681,100.424244213,994.276555409,407.30019129,609.176412067,1248.11239669,1459.59805365,439.087692303
Azerbaijan,AZE,2005,6.62909610419,11.1767078639,348.543164172,1686.29732523,13.7327740396,10.0484437794,10.202039357,1858.71858109,198.460750308,173.254287398,810.419012957,322.842850723,135.329289436,1338.2837351,330.169449563,708.598900819,1568.30993456,1863.55724671,598.310566963
Azerbaijan,AZE,2006,6.83886939137,10.9427814968,361.351855082,1671.33687315,12.6251130329,8.73896237438,8.72784255012,1831.39148022,203.279912742,171.055109578,793.679265593,276.98545003,139.589847801,1368.7232855,299.919055304,713.837181152,1552.60519097,1852.94619804,607.554670306
Azerbaijan,AZE,2010,6.2781277876,11.0380402084,348.989488946,1603.87641162,8.88631292897,5.3423153858,5.1181310644,1690.49357234,201.183388084,157.538309973,663.505141984,156.73825967,126.080536497,1368.83818074,237.875295677,691.13181971,1421.61278529,1665.31710105,601.249492846
Azerbaijan,AZE,2016,5.31310553334,9.67155463374,314.920617591,1540.62449097,6.82179054707,3.77702656109,3.63848506908,1540.95030819,182.416619412,150.102047827,576.532367745,156.342223857,93.190733449,1366.5600555,204.677738336,709.071456148,1349.46852089,1522.14956501,581.028666078
