Entity,Code,Year,Iron deficiency (deaths),Low bone mineral density (deaths),Drug use (deaths),Alcohol use (deaths),No access to handwashing facility (deaths),Unsafe water source (deaths),Poor sanitation (deaths),Smoking (deaths),Secondhand smoke (deaths),Low physical activity (deaths),Diet low in fruits (deaths),Diet low in vegetables (deaths),Unsafe sex (deaths),High body-mass index (obesity) (deaths),Household air pollution (deaths),Outdoor air pollution (deaths),High total cholesterol (deaths),High blood pressure (deaths),High blood sugar (deaths)
France,FRA,1990,4.24627919169,107.255889273,1269.51995427,12276.7005653,4.31410979625,2.54735363826,2.79998493813,5650.02233982,178.05458883,298.747596874,1360.14285582,701.261315429,2549.16352961,1742.73252904,72.6280731199,900.967302893,1958.26126701,2691.30025515,589.61328728
France,FRA,1995,4.26735987662,114.299152832,1494.40107867,11698.324019,4.7720156012,2.75783724965,2.64712277131,6669.52334506,189.995275314,332.279132529,1464.44322476,782.927524085,4258.42974356,1930.94739201,44.7650440876,963.299431114,2128.8168767,2731.80056736,681.696997417
France,FRA,2000,3.77029738953,110.472911235,1393.25282915,9990.11045398,4.41483389911,2.66131756683,2.21950768326,6593.75559939,163.981904715,319.143977175,1371.37125366,759.946161664,1162.11182194,1950.22164904,29.9645336397,884.2642233,1982.56487911,2417.17046921,691.985930224
France,FRA,2005,3.58756865848,84.4292249655,1381.21334097,8226.61304547,3.89277288659,2.52100734405,1.81156749616,5821.83097,128.678919451,285.886466075,1148.19319349,669.32099388,909.074806398,1840.98862588,20.6675429056,762.053647481,1717.08334517,2128.51077963,641.653765833
France,FRA,2006,3.61207833135,80.7328925123,1376.75904475,7898.1910794,3.79887771658,2.53164221236,1.76834107155,5601.38652048,122.008873773,276.18445777,1110.32234947,649.149060214,856.435360533,1794.45074743,18.9387756318,735.227377098,1653.28711112,2061.59650254,627.254706099
France,FRA,2010,3.44759378684,68.5210326231,1343.8091726,6824.96169488,3.71397707423,2.98917182626,1.87821947193,4814.89933435,104.528520306,240.919474923,993.231832302,575.163147727,562.707028024,1608.24421813,13.5971184556,641.354485589,1414.6344939,1788.54828898,545.909783571
France,FRA,2016,3.13828889968,58.5695137236,1229.78650559,5816.90031614,3.2428809509,2.68585518416,1.52042061494,3955.84530373,90.12288533,201.342985021,853.438378742,486.192549009,461.912925715,1372.33911592,8.86611378475,522.572122918,1166.84186942,1485.20174393,464.000014613
Gabon,GAB,1990,6.45528659376,3.15284363748,10.8606857503,309.594795499,44.1153840665,61.378119518,50.8206276719,81.5624512602,9.5722295003,5.3681205366,14.612584184,27.1472194637,128.318190592,56.2944252241,66.1868595391,49.5885248643,35.7002010415,87.9629956525,64.4240973671
Gabon,GAB,1995,8.09329619594,3.30084847267,17.9893227588,297.823540293,45.6182870599,63.1982250351,52.3331244146,88.4997869442,10.4378768627,6.19964736908,17.7867514016,29.9987692219,426.278447697,70.5734304444,62.1004905996,55.3462113977,41.7764235859,97.9774993043,71.5756459699
Gabon,GAB,2000,9.90417495019,3.41198364836,28.0673311767,278.253016038,47.4638029868,64.5355449807,54.8777726363,84.0726703991,12.8410378146,7.00572323173,21.183039086,32.575286304,1021.04135877,93.8332347957,50.1909678103,60.6391325348,45.795981246,108.573744021,74.3661272877
Gabon,GAB,2005,10.7990464221,3.57286585212,35.3144969731,270.772120399,46.8885325769,62.5156746838,53.494971036,79.1647052739,12.3069773913,7.25137179603,22.5842805588,32.4190228879,1451.1590512,112.133930566,37.7356134221,56.8649524521,44.9617344533,111.291946372,75.4270014984
Gabon,GAB,2006,10.6566437474,3.62823520001,34.872157278,269.166974227,46.8157082869,62.3035223219,53.3715093728,78.4233713464,12.1021649942,7.29526173159,22.5159302419,32.4361204835,1413.95827295,115.427581785,36.177034567,57.2744191279,44.8258448879,112.247742577,75.9573563381
Gabon,GAB,2010,8.49643271612,3.76517686933,36.088295108,264.121550883,45.6098050976,60.2898392097,52.1478641568,78.6101670034,10.1984069366,7.05352598912,21.1779721928,30.3868145954,1417.56220211,115.116864873,27.79206801,56.4613586275,42.4664716556,108.45220388,75.3933660409
Gabon,GAB,2016,7.46659400357,4.1006358558,29.1279185609,274.842863298,41.1979277952,52.5239871661,43.2895838468,87.2165586904,10.0287418486,7.31340282935,19.9444332509,30.2181237439,891.697708863,120.132162007,21.002956571,67.6012058228,43.2092240562,111.593732485,77.9158526292
Gambia,GMB,1990,15.2948320452,0.799340660039,3.21652788938,56.3470448882,47.9179766083,62.9370693054,56.428052161,48.0370027817,10.6398155676,3.06833314571,31.0701017792,21.0164435987,33.0785209916,37.1173000279,73.3209277398,46.3946402386,21.9806978444,58.9935333257,20.4462396372
Gambia,GMB,1995,16.2999392298,0.880335503039,5.58481043758,62.6616576149,45.3587306816,56.8084161868,50.6125735061,52.6504862201,11.316159933,3.53415745828,33.17879747,22.2548915076,99.9363697536,45.0251648524,79.4164540371,50.219514716,25.4219529411,63.0325480139,23.3369529903
Gambia,GMB,2000,17.7896951979,1.08715911193,12.3470177965,80.1247179418,42.5007309068,49.3452059378,43.471211899,61.5482341354,13.4914469891,4.47627178671,39.2262793045,26.3739760891,279.978911949,57.9683843338,91.086638887,58.6478691719,32.2159433004,78.4413420686,28.3194067809
Gambia,GMB,2005,22.3052758411,1.19551119469,24.6800688354,94.5680062674,42.2955238243,46.7754421358,40.2794415971,70.4606941611,14.6162973858,5.11989553954,44.886731756,30.2072495923,575.690840754,70.8665862249,100.512224999,58.4274096935,36.5370399781,95.1039340247,31.9424393909
Gambia,GMB,2006,23.4909649649,1.24525848394,26.8901041441,96.9742045873,42.8802836569,47.0016913802,40.2689943672,72.9626375375,14.8382110132,5.302193324,46.6918532285,31.4175672782,622.641285476,74.8231424455,103.805148616,61.3515018206,37.7837541694,99.6007937246,33.1033207743
Gambia,GMB,2010,24.8415041464,1.39626239437,34.0916778034,101.90979651,45.8870763795,50.5961113908,42.744303594,77.9332087226,15.3651880208,5.94054762122,52.403017391,35.0611316899,760.099323399,89.5185370547,111.449158919,70.5413098833,41.1521534336,113.369057952,37.3996022092
Gambia,GMB,2016,24.3008698062,1.68656531647,36.5425807922,109.337258682,54.8365585617,60.1833276433,50.6025620235,92.297927674,17.3801670871,7.26477451621,63.5294149255,42.6302207901,698.134054415,115.460585452,131.823015352,100.547287757,49.1484703119,137.191151693,46.1194862988
Georgia,GEO,1990,2.48867094142,11.9921461175,122.836599448,758.43754589,5.64879723413,4.81531812069,3.87220792491,1011.744306,77.314673494,82.6083200645,450.324665445,348.79396936,76.363810518,700.723783102,420.122572128,377.241914994,731.074464904,973.864240267,211.120766528
Georgia,GEO,1995,1.70144814939,7.72479366925,126.978632785,616.510747398,4.4463573061,5.17200162083,4.19358470119,1042.05639981,80.987549748,93.2336782561,519.581186091,398.327612724,71.7538720184,752.012121025,427.40379145,373.613304317,822.930173342,1099.10124921,215.297835564
