Entity,Code,Year,Drug use (deaths),Alcohol use (deaths),No access to handwashing facility (deaths),Unsafe water source (deaths),Unsafe sex (deaths),Iron deficiency (deaths),Secondhand smoke (deaths),Household air pollution (deaths),Outdoor air pollution (deaths),High body-mass index (obesity) (deaths),High blood sugar (deaths),High blood pressure (deaths),Poor sanitation (deaths),Iron deficiency (deaths)
Afghanistan,AFG,1990,0.00312121927388,0.131525343995,55.886771687,37.0210763577,0.404587012358,253.726720461,25.4839100583,206.945089208,126.573891509,6.2311003927,34.3874406821,1.72901445782,32.6522491854,0.205093021951
Afghanistan,AFG,1995,0.00454632902882,0.191171373599,86.0777877993,68.0546381549,0.644582523004,354.800405704,44.6592112064,292.48487225,173.079891612,7.6921443333,47.7420931479,2.29372789209,59.826397895,0.330910785456
Afghanistan,AFG,2000,0.00531640698235,0.270663279055,90.3992204253,63.1435410969,0.775750106796,388.137040415,54.0013672913,319.196419348,190.249954666,7.3309676257,52.1212280624,2.43853487438,55.4410690711,0.305759699823
Afghanistan,AFG,2005,0.00819553522183,0.542971622637,158.939638776,100.45118185,1.09547126705,471.643837899,92.4275542482,565.100939775,304.701937447,12.6922718889,94.27452656,4.2250420974,87.8014689444,0.49935448757
Afghanistan,AFG,2006,0.0083219708274,0.609934746626,156.327057729,97.8407981708,1.09708117985,477.769404315,90.3649629407,555.240713142,304.257558531,12.8280064783,93.3134141696,4.21510600813,85.3759603467,0.507846854875
Afghanistan,AFG,2010,0.00711030951059,0.880600075596,91.9051981137,53.3794974817,0.936553801671,478.591590688,59.4534116614,328.565190867,193.66193829,9.00335408106,59.1539984847,2.90355714444,46.0233708524,0.378408468359
Afghanistan,AFG,2016,0.0100170789102,1.26199372766,130.641820428,67.8148793096,1.22317083297,432.765427234,90.8963404467,469.3777661,337.440695679,14.4245455912,93.2770154948,4.33014698804,57.3010903577,0.716456044682
Albania,ALB,1990,0.00193256320146,0.210280800116,1.29494629562,0.516770564363,0.0658305170183,1.37571687859,9.05105786912,16.6078728942,6.59216184892,0.139363051432,1.00059277158,0.186981627556,0.381179659046,0.0965282877108
Albania,ALB,1995,0.00248728547151,0.199846019339,1.20920552757,0.538001863832,0.056398940175,0.622377714739,8.85573410304,15.7383436927,5.60624485802,0.172757945175,1.23256751388,0.186032359386,0.411153294084,0.110045115014
Albania,ALB,2000,0.00275734142092,0.234452350856,0.754414506675,0.331018566178,0.054211737612,0.440457037602,6.58483344652,11.2106819898,4.17969185203,0.156058145169,1.28291325827,0.19320162171,0.23485004462,0.114046906727
Albania,ALB,2005,0.00368841568325,0.274022422621,0.488377001382,0.23826629505,0.0504734659313,0.40830607113,5.07185613201,7.32486253579,2.74296699436,0.111252903032,1.12436830178,0.226289189651,0.143441742698,0.115524048394
Albania,ALB,2006,0.00364451447643,0.272022007741,0.429400709268,0.215133206452,0.0484199668728,0.379949527032,4.4996344996,6.12512551458,2.56806160049,0.0973026091587,0.982873035334,0.217619624842,0.12823884288,0.112341864792
Albania,ALB,2010,0.00286262804518,0.26213210678,0.234316442761,0.133744156708,0.0387588371732,0.247150810592,2.5175957321,2.73246280649,1.7898634964,0.052354704657,0.493738266248,0.150632020116,0.0777268680989,0.0716291656064
Albania,ALB,2016,0.00151409927954,0.239172807338,0.110717745076,0.0729251090552,0.0257448912446,0.211854678654,1.3608631438,1.17627978716,0.891896088095,0.0271779158131,0.261303680435,0.0876468371374,0.0377131070106,0.0353076507105
Algeria,DZA,1990,0.00352823916921,0.956058356937,19.1522938482,44.730698286,0.49689588544,106.448754138,55.3220217228,32.2213092504,70.5314541358,3.60240008405,32.6548306272,3.24424190908,29.5618367233,1.88169558009
Algeria,DZA,1995,0.00361470536849,0.975364441643,15.2261286564,28.9983473768,0.613638998161,89.9776746305,43.8491516589,18.9996676312,63.9878993067,3.45729534379,29.4890056037,3.15113437828,17.1273595928,2.03270679341
Algeria,DZA,2000,0.00380733882035,1.17495266158,14.3984572137,19.9040813822,0.714560823033,80.9687577819,34.3912378741,9.73016511941,54.9190523873,3.04321723284,25.0063014793,2.94895774299,10.659175727,1.83477809491
Algeria,DZA,2005,0.00357629679335,1.35384687373,10.5032661088,13.2966483564,0.782511030184,77.5914030738,23.3872521273,3.13752760731,38.1088655637,2.46108718962,18.7187329127,2.42864169033,6.00074251625,1.26108949128
Algeria,DZA,2006,0.00344477627861,1.3720283431,9.68725896618,12.3800402498,0.788316537791,74.29246903,22.5303336095,2.53959332351,35.6580558978,2.38368175127,17.8018409868,2.33354533418,5.35230008888,1.14730179818
Algeria,DZA,2010,0.00290150517412,1.38967300513,7.3807724761,9.97865061516,0.502138402925,59.4469651537,19.8038925659,1.11411709049,28.9135488163,2.21515113602,15.317732714,2.05996472823,3.66108991526,0.92665643854
Algeria,DZA,2016,0.0027600757498,1.47129585829,6.63816270277,9.45927093688,0.415335951977,44.9899425772,21.0404344112,0.477260694758,36.1701441622,2.3769483466,14.5565085093,2.16609949593,2.99829417917,1.00957521934
American Samoa,ASM,1990,0.0000245435764341,0.00218569646331,0.0112766325011,0.0217837598348,0.00125037034617,0.0616218896187,0.0207571992784,0.0490001538947,0.00395253841873,0.0137803138251,0.0234188357366,0.00300052483942,0.0123428246215,0.0015420072789
American Samoa,ASM,1995,0.0000267996287028,0.00237498894734,0.0103756445873,0.0195840245331,0.00148387499751,0.0778011179718,0.0231422039747,0.0454999178685,0.00407469766329,0.0146852888238,0.0279320589588,0.00342392988877,0.0105933898035,0.00149536863074
